participant_code,session_id,trial_id,condition_code,run_code,condition_name,study,environment,feedback_timing,modality,practice,trial_started_at_epoch,host_time_epoch,host_time_iso_utc,trial_elapsed_s,host_monotonic,pv_frame_index,pv_timestamp_hl2ss,eet_timestamp_hl2ss,pv_eet_delta_ms,eye_calibration_valid,combined_gaze_valid,projection_valid,pointer_in_frame,gaze_pixel_x_raw,gaze_pixel_y_raw,overlay_pixel_x_drawn,overlay_pixel_y_drawn,assumed_projection_distance_m,combined_origin_x,combined_origin_y,combined_origin_z,combined_direction_x,combined_direction_y,combined_direction_z
P001,P001_S01,P001_S01_ST1ST_T01_R02,T01,R02,Room_Requested_Keyboard,Study 1,Continuous Room Navigation,Requested Feedback,Keyboard,0,1787856833.6515527,1787856833.7607853,2026-08-27T18:53:53.760785+00:00,0.10923266410827637,548560.531,1,840637610276,840637366006,,0,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1ST_T01_R02,T01,R02,Room_Requested_Keyboard,Study 1,Continuous Room Navigation,Requested Feedback,Keyboard,0,1787856833.6515527,1787856833.7745295,2026-08-27T18:53:53.774529+00:00,0.12297677993774414,548560.546,2,840637943473,840638419633,,0,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1ST_T01_R02,T01,R02,Room_Requested_Keyboard,Study 1,Continuous Room Navigation,Requested Feedback,Keyboard,0,1787856833.6515527,1787856833.7845292,2026-08-27T18:53:53.784529+00:00,0.13297653198242188,548560.546,3,840638276672,840638419633,,0,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1ST_T01_R02,T01,R02,Room_Requested_Keyboard,Study 1,Continuous Room Navigation,Requested Feedback,Keyboard,0,1787856833.6515527,1787856833.7925313,2026-08-27T18:53:53.792531+00:00,0.14097857475280762,548560.562,4,840638609870,840638419633,,0,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1ST_T01_R02,T01,R02,Room_Requested_Keyboard,Study 1,Continuous Room Navigation,Requested Feedback,Keyboard,0,1787856833.6515527,1787856833.8267925,2026-08-27T18:53:53.826792+00:00,0.17523980140686035,548560.593,5,840638943068,840638419633,,0,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1ST_T01_R02,T01,R02,Room_Requested_Keyboard,Study 1,Continuous Room Navigation,Requested Feedback,Keyboard,0,1787856833.6515527,1787856833.8506415,2026-08-27T18:53:53.850641+00:00,0.19908881187438965,548560.625,6,840639276267,840639569630,,0,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1ST_T01_R02,T01,R02,Room_Requested_Keyboard,Study 1,Continuous Room Navigation,Requested Feedback,Keyboard,0,1787856833.6515527,1787856833.882344,2026-08-27T18:53:53.882344+00:00,0.23079133033752441,548560.656,7,840639609465,840639569630,,0,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1ST_T01_R02,T01,R02,Room_Requested_Keyboard,Study 1,Continuous Room Navigation,Requested Feedback,Keyboard,0,1787856833.6515527,1787856833.9427102,2026-08-27T18:53:53.942710+00:00,0.29115748405456543,548560.718,8,840639942664,840639569630,,0,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1ST_T01_R02,T01,R02,Room_Requested_Keyboard,Study 1,Continuous Room Navigation,Requested Feedback,Keyboard,0,1787856833.6515527,1787856833.9525793,2026-08-27T18:53:53.952579+00:00,0.3010265827178955,548560.718,9,840640275861,840640676582,,0,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1ST_T01_R02,T01,R02,Room_Requested_Keyboard,Study 1,Continuous Room Navigation,Requested Feedback,Keyboard,0,1787856833.6515527,1787856833.988562,2026-08-27T18:53:53.988562+00:00,0.3370094299316406,548560.75,10,840640609060,840640676582,,0,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
