timestamp,event,participant_id,session_id,trial_id,episode,step,value
1788307690.656,TRIAL_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,,,T02/R01
1788307690.664,EXPERIMENTER_NOTE,P001,P001_S01,P001_S01_ST1ST_T02_R01,,,HoloLens recording NOT started: fresh PV + EET streams were not available when this activity began.
1788307690.672,EXPERIMENTER_NOTE,P001,P001_S01,P001_S01_ST1ST_T02_R01,,,Shimmer physiological recording NOT started: no fresh GSR/PPG stream was available when the experimental trial began.
1788307690.681,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,1,0,
1788307690.804,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,1,2,"(1, 1)"
1788307690.812,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,1,2,reward=-50.5
1788307690.822,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,2,0,
1788307691.006,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,2,3,"(-1, 0)"
1788307691.015,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,2,3,reward=-52.0
1788307691.023,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,3,0,
1788307691.275,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,3,4,"(-1, 3)"
1788307691.283,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,3,4,reward=-51.5
1788307691.291,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,4,0,
1788307691.353,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,4,1,"(0, -1)"
1788307691.361,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,4,1,reward=-50.0
1788307691.369,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,5,0,
1788307691.494,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,5,2,"(1, 1)"
1788307691.503,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,5,2,reward=-50.5
1788307691.511,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,6,0,
1788307691.571,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,6,1,"(0, -1)"
1788307691.581,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,6,1,reward=-50.0
1788307691.589,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,7,0,
1788307691.959,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,7,6,"(1, -1)"
1788307691.967,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,7,6,reward=-54.5
1788307691.976,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,8,0,
1788307692.036,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,8,1,"(0, -1)"
1788307692.044,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,8,1,reward=-50.0
1788307692.053,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,9,0,
1788307692.177,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,9,2,"(1, 1)"
1788307692.186,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,9,2,reward=-50.5
1788307692.194,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,10,0,
1788307692.443,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,10,4,"(1, 3)"
1788307692.451,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,10,4,reward=-51.5
1788307692.460,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,11,0,
1788307692.898,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,11,7,"(3, 2)"
1788307692.907,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,11,7,reward=-54.0
1788307692.916,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,12,0,
1788307693.598,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,12,11,"(1, 2)"
1788307693.608,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,12,11,reward=-59.0
1788307693.616,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,13,0,
1788307693.817,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,13,3,"(1, 2)"
1788307693.832,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,13,3,reward=-51.0
1788307693.841,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,14,0,
1788307694.175,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,14,5,"(-1, 0)"
1788307694.184,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,14,5,reward=-54.0
1788307694.193,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,15,0,
1788307694.613,CRITICAL_STATE,P001,P001_S01,P001_S01_ST1ST_T02_R01,15,6,"state=(0, 2);method=oscillation_pattern"
1788307694.677,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,15,7,"(-1, 2)"
1788307694.686,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,15,7,reward=-55.0
1788307694.695,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,16,0,
1788307694.879,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,16,3,"(2, -1)"
1788307694.888,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,16,3,reward=-51.0
1788307694.897,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,17,0,
1788307695.083,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,17,3,"(2, -1)"
1788307695.092,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,17,3,reward=-51.0
1788307695.101,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,18,0,
1788307695.549,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,18,7,"(5, 0)"
1788307695.558,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,18,7,reward=-54.0
1788307695.568,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,19,0,
1788307695.706,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,19,2,"(-1, 1)"
1788307695.716,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,19,2,reward=-50.5
1788307695.725,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,20,0,
1788307695.986,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,20,4,"(3, -1)"
1788307695.995,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,20,4,reward=-51.5
1788307696.005,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,21,0,
1788307696.143,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,21,2,"(1, -1)"
1788307696.153,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,21,2,reward=-50.5
1788307696.163,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,22,0,
1788307696.410,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,22,4,"(1, 1)"
1788307696.420,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,22,4,reward=-52.5
1788307696.430,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,23,0,
1788307696.488,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,23,1,"(-1, 0)"
1788307696.498,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,23,1,reward=-50.0
1788307696.507,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,24,0,
1788307696.955,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,24,7,"(2, -1)"
1788307696.965,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,24,7,reward=-55.0
1788307696.974,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1ST_T02_R01,25,0,
1788307697.236,COLLISION,P001,P001_S01,P001_S01_ST1ST_T02_R01,25,4,"(3, -1)"
1788307697.246,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1ST_T02_R01,25,4,reward=-51.5
