timestamp,participant_id,session_id,trial_id,condition_code,run_code,condition_name,practice,episode,steps,total_reward,target_reached,human_feedback_given
1788307690.812060,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,1,2,-50.5,0,0
1788307691.015455,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,2,3,-52.0,0,0
1788307691.282716,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,3,4,-51.5,0,0
1788307691.360526,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,4,1,-50.0,0,0
1788307691.502808,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,5,2,-50.5,0,0
1788307691.579905,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,6,1,-50.0,0,0
1788307691.966917,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,7,6,-54.5,0,0
1788307692.043871,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,8,1,-50.0,0,0
1788307692.185519,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,9,2,-50.5,0,0
1788307692.451237,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,10,4,-51.5,0,0
1788307692.906855,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,11,7,-54.0,0,0
1788307693.608466,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,12,11,-59.0,0,0
1788307693.832272,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,13,3,-51.0,0,0
1788307694.183761,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,14,5,-54.0,0,0
1788307694.685634,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,15,7,-55.0,0,0
1788307694.888148,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,16,3,-51.0,0,0
1788307695.091673,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,17,3,-51.0,0,0
1788307695.558289,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,18,7,-54.0,0,0
1788307695.715980,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,19,2,-50.5,0,0
1788307695.995446,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,20,4,-51.5,0,0
1788307696.153394,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,21,2,-50.5,0,0
1788307696.420404,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,22,4,-52.5,0,0
1788307696.497996,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,23,1,-50.0,0,0
1788307696.964999,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,24,7,-55.0,0,0
1788307697.245708,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,25,4,-51.5,0,0
1788307697.525526,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,26,4,-52.5,0,0
1788307697.992308,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,27,7,-54.0,0,0
1788307698.335405,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,28,5,-53.0,0,0
1788307698.616539,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,29,4,-51.5,0,0
1788307699.082505,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,30,7,-55.0,0,0
1788307699.987546,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,31,14,-61.5,0,0
1788307700.407330,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,32,6,-53.5,0,0
1788307700.756595,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,33,5,-52.0,0,0
1788307701.722570,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,34,13,-60.0,0,0
1788307702.440296,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,35,9,-55.0,0,0
1788307702.720325,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,36,4,-51.5,0,0
1788307703.001993,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,37,4,-52.5,0,0
1788307703.658857,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,38,10,-57.5,0,0
1788307703.939862,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,39,4,-51.5,0,0
1788307704.356901,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,40,6,-52.5,0,0
1788307704.765000,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,41,6,-53.5,0,0
1788307705.924726,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,42,18,-63.5,0,0
1788307706.455338,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,43,8,-54.5,0,0
1788307706.862366,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,44,6,-52.5,0,0
1788307707.330733,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,45,7,-54.0,0,0
1788307708.112063,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,46,12,-58.5,0,0
1788307708.393955,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,47,4,-52.5,0,0
1788307708.890990,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,48,7,-54.0,0,0
1788307709.885481,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,49,15,-62.0,0,0
1788307710.290438,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,50,6,-52.5,0,0
1788307710.759083,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,51,7,-54.0,0,0
1788307711.286402,P001,P001_S01,P001_S01_ST1ST_T02_R01,T02,R01,Gridworld_Anytime_Keyboard,0,52,8,-54.5,0,0
