timestamp,event,participant_id,session_id,trial_id,episode,step,value
1787761368.632,TRIAL_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,,,TR01/R01
1787761368.633,PRACTICE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,,,
1787761368.633,EXPERIMENTER_NOTE,P001,P001_S01,P001_S01_ST1TR_TR01_R01,,,HoloLens recording NOT started: fresh PV + EET streams were not available when this activity began.
1787761368.634,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,1,0,
1787761368.769,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,1,2,"(1, 1)"
1787761368.770,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,1,2,reward=-50.5
1787761368.771,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,2,0,
1787761368.971,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,2,3,"(-1, 0)"
1787761368.973,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,2,3,reward=-52.0
1787761368.973,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,3,0,
1787761369.235,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,3,4,"(-1, 3)"
1787761369.235,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,3,4,reward=-51.5
1787761369.236,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,4,0,
1787761369.296,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,4,1,"(0, -1)"
1787761369.298,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,4,1,reward=-50.0
1787761369.299,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,5,0,
1787761369.420,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,5,2,"(1, 1)"
1787761369.421,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,5,2,reward=-50.5
1787761369.423,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,6,0,
1787761369.481,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,6,1,"(0, -1)"
1787761369.483,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,6,1,reward=-50.0
1787761369.484,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,7,0,
1787761369.854,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,7,6,"(1, -1)"
1787761369.856,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,7,6,reward=-54.5
1787761369.857,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,8,0,
1787761369.915,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,8,1,"(0, -1)"
1787761369.918,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,8,1,reward=-50.0
1787761369.919,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,9,0,
1787761370.040,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,9,2,"(1, 1)"
1787761370.042,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,9,2,reward=-50.5
1787761370.043,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,10,0,
1787761370.289,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,10,4,"(1, 3)"
1787761370.291,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,10,4,reward=-51.5
1787761370.292,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,11,0,
1787761370.725,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,11,7,"(3, 2)"
1787761370.727,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,11,7,reward=-54.0
1787761370.729,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,12,0,
1787761371.427,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,12,11,"(1, 2)"
1787761371.429,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,12,11,reward=-59.0
1787761371.431,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,13,0,
1787761371.629,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,13,3,"(1, 2)"
1787761371.631,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,13,3,reward=-51.0
1787761371.633,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,14,0,
1787761371.955,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,14,5,"(-1, 0)"
1787761371.957,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,14,5,reward=-54.0
1787761371.959,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,15,0,
1787761372.343,CRITICAL_STATE,P001,P001_S01,P001_S01_ST1TR_TR01_R01,15,6,"state=(0, 2);method=oscillation_pattern"
1787761372.345,FEEDBACK_REQUESTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,15,6,"(0, 2)"
1787761373.301,FEEDBACK_RECEIVED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,15,6,Keyboard:RIGHT
1787761373.303,FEEDBACK_APPLIED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,15,6,Keyboard:RIGHT
1787761373.374,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,15,8,"(1, 3)"
1787761373.376,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,15,8,reward=-55.5
1787761373.378,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,16,0,
1787761373.575,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,16,3,"(2, -1)"
1787761373.577,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,16,3,reward=-51.0
1787761373.579,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,17,0,
1787761373.762,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,17,3,"(2, -1)"
1787761373.764,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,17,3,reward=-51.0
1787761373.766,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,18,0,
1787761374.200,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,18,7,"(5, 0)"
1787761374.203,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,18,7,reward=-54.0
1787761374.205,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,19,0,
1787761374.323,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,19,2,"(-1, 1)"
1787761374.326,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,19,2,reward=-50.5
1787761374.328,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,20,0,
1787761374.573,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,20,4,"(3, -1)"
1787761374.575,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,20,4,reward=-51.5
1787761374.577,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,21,0,
1787761374.698,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,21,2,"(1, -1)"
1787761374.701,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,21,2,reward=-50.5
1787761374.704,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,22,0,
1787761374.947,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,22,4,"(1, 1)"
1787761374.950,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,22,4,reward=-52.5
1787761374.952,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,23,0,
1787761375.009,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,23,1,"(-1, 0)"
1787761375.012,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,23,1,reward=-50.0
1787761375.015,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,24,0,
1787761375.445,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,24,7,"(2, -1)"
1787761375.448,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,24,7,reward=-55.0
1787761375.451,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR01_R01,25,0,
1787761375.695,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR01_R01,25,4,"(3, -1)"
