participant_code,session_id,trial_id,condition_code,run_code,condition_name,study,environment,feedback_timing,modality,practice,trial_started_at_epoch,host_time_epoch,host_time_iso_utc,trial_elapsed_s,host_monotonic,pv_frame_index,pv_timestamp_hl2ss,eet_timestamp_hl2ss,pv_eet_delta_ms,eye_calibration_valid,combined_gaze_valid,projection_valid,pointer_in_frame,gaze_pixel_x_raw,gaze_pixel_y_raw,overlay_pixel_x_drawn,overlay_pixel_y_drawn,assumed_projection_distance_m,combined_origin_x,combined_origin_y,combined_origin_z,combined_direction_x,combined_direction_y,combined_direction_z
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.528674,2026-08-27T18:51:04.528674+00:00,0.014006853103637695,548391.296,1,838945959158,838945996835,3.7677,1,1,1,1,767.2859738172881,372.83316282953626,767.2859738172881,372.83316282953626,1.5,0.05046338215470314,-0.047886524349451065,-0.03784405067563057,-0.03828048333525658,-0.14611119031906128,0.9885272979736328
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.554184,2026-08-27T18:51:04.554184+00:00,0.03951692581176758,548391.328,2,838946292358,838946330173,3.7815,1,1,1,1,766.6055235380867,372.58184728935703,767.0001847000235,372.727610302661,1.5,0.050475362688302994,-0.04823737591505051,-0.037842269986867905,-0.0386618971824646,-0.14517608284950256,0.9886502623558044
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.5883915,2026-08-27T18:51:04.588392+00:00,0.07372450828552246,548391.359,3,838946625558,838946663512,3.7954,1,1,1,1,764.5595891055408,371.9732208327818,765.9751345503408,372.41076672531176,1.5,0.05047719553112984,-0.04874312877655029,-0.03785255178809166,-0.03940023481845856,-0.1428578943014145,0.9889587163925171
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.6188362,2026-08-27T18:51:04.618836+00:00,0.10416913032531738,548391.39,4,838946958758,838946996850,3.8092,1,1,1,1,762.5457992163265,370.3550950321339,764.5348137100548,371.5473846141771,1.5,0.050470251590013504,-0.04986606165766716,-0.037887804210186005,-0.040968868881464005,-0.1402311474084854,0.989270806312561
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.6497614,2026-08-27T18:51:04.649761+00:00,0.13509440422058105,548391.421,5,838947291958,838947330188,3.823,1,1,1,1,759.7770486460339,369.9502472369947,762.536552383166,370.8765869157605,1.5,0.05045592039823532,-0.05070636421442032,-0.037916719913482666,-0.04138493165373802,-0.13705693185329437,0.9896983504295349
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.6847534,2026-08-27T18:51:04.684753+00:00,0.17008638381958008,548391.453,6,838947625158,838947663528,3.837,1,1,1,1,757.986648000086,369.2118114100086,760.6255925422724,370.17738120334474,1.5,0.05044224113225937,-0.05129602178931236,-0.03793702647089958,-0.0422014445066452,-0.13502439856529236,0.9899432063102722
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.7249496,2026-08-27T18:51:04.724950+00:00,0.210282564163208,548391.5,7,838947958359,838947996866,3.8507,1,1,1,1,756.215915090001,368.8202369431047,758.7735280123185,369.60738061404396,1.5,0.05043340474367142,-0.051269788295030594,-0.03793365880846977,-0.04268863797187805,-0.13342969119548798,0.990138590335846
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.7520165,2026-08-27T18:51:04.752017+00:00,0.2373495101928711,548391.515,8,838948291559,838948330205,3.8646,1,1,1,1,754.9367838743497,366.9305728456791,757.1620954743717,368.48312135133074,1.5,0.050428591668605804,-0.051669664680957794,-0.03793853893876076,-0.04457341507077217,-0.13204076886177063,0.9902416467666626
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.7840466,2026-08-27T18:51:04.784047+00:00,0.2693796157836914,548391.546,9,838948624759,838948553349,7.141,1,1,1,1,752.6178302060915,366.63876076557136,755.253504061694,367.7084899053118,1.5,0.050425510853528976,-0.051854342222213745,-0.03794001415371895,-0.044602327048778534,-0.12997397780418396,0.990513801574707
P001,P001_S01,P001_S01_ST1TR_TR01_R01,TR01,R01,Gridworld_Requested_Keyboard,Study 1,Gridworld,Requested Feedback,Keyboard,1,1787856664.514667,1787856664.8151429,2026-08-27T18:51:04.815143+00:00,0.3004758358001709,548391.578,10,838948957959,838948924892,3.3067,1,1,1,1,752.0727562707225,366.0282690842187,753.917589989486,367.0027971604527,1.5,0.05042160674929619,-0.05270034447312355,-0.03795994818210602,-0.045332808047533035,-0.12885867059230804,0.9906262755393982
