timestamp,event,participant_id,session_id,trial_id,episode,step,value
1787856668.257,TRIAL_STARTED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,,,TR02/R01
1787856668.259,PRACTICE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,,,
1787856668.263,RECORDING_STARTED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,,,HoloLens PV+EET -> D:\Courses\Independent Study 2\User_Study\Desktop App\hint_study_console_v1.2.1_ubuntu_study1b\hint_study_console_v1.2.1_ubuntu_study1b\data\P001\S01\Training\Study1\TR02_Gridworld_Requested_Joystick\R01\sensors\hololens\pv_gaze.mp4 ; pointer=D:\Courses\Independent Study 2\User_Study\Desktop App\hint_study_console_v1.2.1_ubuntu_study1b\hint_study_console_v1.2.1_ubuntu_study1b\data\P001\S01\Training\Study1\TR02_Gridworld_Requested_Joystick\R01\sensors\hololens\gaze.csv ; raw_eet=D:\Courses\Independent Study 2\User_Study\Desktop App\hint_study_console_v1.2.1_ubuntu_study1b\hint_study_console_v1.2.1_ubuntu_study1b\data\P001\S01\Training\Study1\TR02_Gridworld_Requested_Joystick\R01\sensors\hololens\eet.csv
1787856668.265,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,1,0,
1787856668.385,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR02_R01,1,2,"(1, 1)"
1787856668.387,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,1,2,reward=-50.5
1787856668.390,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,2,0,
1787856668.570,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR02_R01,2,3,"(-1, 0)"
1787856668.573,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,2,3,reward=-52.0
1787856668.575,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,3,0,
1787856668.819,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR02_R01,3,4,"(-1, 3)"
1787856668.822,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,3,4,reward=-51.5
1787856668.824,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,4,0,
1787856668.881,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR02_R01,4,1,"(0, -1)"
1787856668.884,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,4,1,reward=-50.0
1787856668.886,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,5,0,
1787856669.005,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR02_R01,5,2,"(1, 1)"
1787856669.008,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,5,2,reward=-50.5
1787856669.010,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,6,0,
1787856669.067,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR02_R01,6,1,"(0, -1)"
1787856669.070,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,6,1,reward=-50.0
1787856669.073,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,7,0,
1787856669.446,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR02_R01,7,6,"(1, -1)"
1787856669.449,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,7,6,reward=-54.5
1787856669.452,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,8,0,
1787856669.507,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR02_R01,8,1,"(0, -1)"
1787856669.509,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,8,1,reward=-50.0
1787856669.512,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,9,0,
1787856669.629,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR02_R01,9,2,"(1, 1)"
1787856669.632,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,9,2,reward=-50.5
1787856669.634,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,10,0,
1787856669.685,PRACTICE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,,,
1787856669.688,TRIAL_ENDED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,,,Valid; TR02/R01
1787856669.693,RECORDING_STOPPED,P001,P001_S01,P001_S01_ST1TR_TR02_R01,,,"HoloLens PV+EET: 43 video frames, 128 EET samples -> D:\Courses\Independent Study 2\User_Study\Desktop App\hint_study_console_v1.2.1_ubuntu_study1b\hint_study_console_v1.2.1_ubuntu_study1b\data\P001\S01\Training\Study1\TR02_Gridworld_Requested_Joystick\R01\sensors\hololens"
