timestamp,participant_id,session_id,trial_id,condition_code,run_code,condition_name,practice,episode,steps,total_reward,target_reached,human_feedback_given
1787750996.916804,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,1,1,2,-50.5,0,0
1787750997.106036,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,1,2,3,-52.0,0,0
1787750997.354225,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,1,3,4,-51.5,0,0
1787750997.418115,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,1,4,1,-50.0,0,0
1787750997.542669,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,1,5,2,-50.5,0,0
1787750997.604797,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,1,6,1,-50.0,0,0
1787750997.978406,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,1,7,6,-54.5,0,0
1787750998.042144,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,1,8,1,-50.0,0,0
1787750998.167056,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,1,9,2,-50.5,0,0
1787750998.415050,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,1,10,4,-51.5,0,0
1787750998.856120,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,1,11,7,-54.0,0,0
