participant_code,session_id,trial_id,condition_code,run_code,condition_name,study,environment,feedback_timing,modality,practice,trial_started_at_epoch,host_time_epoch,host_time_iso_utc,trial_elapsed_s,host_monotonic,eet_sample_index,eet_timestamp_hl2ss,calibration_valid,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_direction_x,combined_direction_y,combined_direction_z,left_valid,left_origin_x,left_origin_y,left_origin_z,left_direction_x,left_direction_y,left_direction_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_direction_x,right_direction_y,right_direction_z
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.2700226,2026-08-27T18:51:08.270023+00:00,0.020298242568969727,548395.046,1,838983826570,1,1,0.0502595528960228,-0.04265981167554855,-0.037822045385837555,-0.0643426924943924,-0.21586458384990692,0.9743010997772217,1,0.050080787390470505,-0.01482016034424305,-0.03700808063149452,-0.07019328325986862,-0.2675241529941559,0.9609909653663635,1,0.05033717304468155,-0.08352948725223541,-0.03907269611954689,-0.06942903995513916,-0.12771664559841156,0.9893776774406433
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.2886052,2026-08-27T18:51:08.288605+00:00,0.03888082504272461,548395.062,2,838983980440,1,1,0.050253015011548996,-0.04297846928238869,-0.03783212974667549,-0.06592819094657898,-0.21275155246257782,0.9748796820640564,1,0.050089530646800995,-0.014794152230024338,-0.03701871633529663,-0.06874095648527145,-0.26599201560020447,0.9615210294723511,1,0.050352543592453,-0.08352432399988174,-0.03905443102121353,-0.06803082674741745,-0.12847378849983215,0.9893767833709717
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.291622,2026-08-27T18:51:08.291622+00:00,0.04189753532409668,548395.062,3,838984087360,1,1,0.050245389342308044,-0.04301653802394867,-0.03783343732357025,-0.06761221587657928,-0.21124334633350372,0.9750922918319702,1,0.050088923424482346,-0.014782051555812359,-0.037021249532699585,-0.07034742832183838,-0.26457083225250244,0.9617970585823059,1,0.050350334495306015,-0.08350984752178192,-0.0390433743596077,-0.06991108506917953,-0.12676751613616943,0.9894657731056213
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.3094637,2026-08-27T18:51:08.309464+00:00,0.05973935127258301,548395.078,4,838984197983,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.050088152289390564,-0.014772106893360615,-0.03702083230018616,-0.0708177238702774,-0.26320892572402954,0.9621361494064331,1,0.05035680904984474,-0.08348315954208374,-0.039014726877212524,-0.07045945525169373,-0.1233854591846466,0.9898542761802673
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.3104663,2026-08-27T18:51:08.310466+00:00,0.06074190139770508,548395.078,5,838984309096,1,1,0.05023835599422455,-0.04294884577393532,-0.037831854075193405,-0.06829211115837097,-0.20917671918869019,0.975490391254425,1,0.050092779099941254,-0.014750689268112183,-0.03703686594963074,-0.06902369111776352,-0.26239529252052307,0.9624885320663452,1,0.050367388874292374,-0.08346983790397644,-0.039015281945466995,-0.06859909743070602,-0.12360197305679321,0.9899579882621765
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.32447,2026-08-27T18:51:08.324470+00:00,0.07474565505981445,548395.093,6,838984420209,1,1,0.05023164674639702,-0.04312220215797424,-0.037838082760572433,-0.06943884491920471,-0.20709800720214844,0.975852906703949,1,0.050088055431842804,-0.01474657654762268,-0.037021514028310776,-0.07088397443294525,-0.2616724967956543,0.9625502228736877,1,0.05035538226366043,-0.08347246050834656,-0.03902454674243927,-0.0707446038722992,-0.12375660240650177,0.9897875785827637
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.340331,2026-08-27T18:51:08.340331+00:00,0.090606689453125,548395.109,7,838984531321,1,1,0.05022488906979561,-0.043327249586582184,-0.03784431517124176,-0.07053729891777039,-0.20424222946166992,0.9763758778572083,1,0.050082944333553314,-0.014735417440533638,-0.03701096400618553,-0.07182589173316956,-0.26011019945144653,0.9629037380218506,1,0.05035020411014557,-0.08344811201095581,-0.03899330273270607,-0.07164771854877472,-0.12069778889417648,0.9901003241539001
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.3413303,2026-08-27T18:51:08.341330+00:00,0.09160590171813965,548395.109,8,838984642435,1,1,0.05021781846880913,-0.04344664886593819,-0.037847649306058884,-0.07102252542972565,-0.20200768113136292,0.9768053889274597,1,0.05008205398917198,-0.01472487859427929,-0.03700460493564606,-0.07117794454097748,-0.258591890335083,0.9633607864379883,1,0.05034785345196724,-0.08343735337257385,-0.038977302610874176,-0.07082857191562653,-0.11914873123168945,0.9903468489646912
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.3553317,2026-08-27T18:51:08.355332+00:00,0.10560727119445801,548395.125,9,838984753548,1,1,0.05021027475595474,-0.04331844672560692,-0.037843070924282074,-0.0709390714764595,-0.2014259248971939,0.976931631565094,1,0.05008495971560478,-0.014711637981235981,-0.03700479120016098,-0.0699697807431221,-0.257475882768631,0.9637480974197388,1,0.050346992909908295,-0.08341091871261597,-0.038952555507421494,-0.06975303590297699,-0.11644306033849716,0.9907450079917908
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.3818483,2026-08-27T18:51:08.381848+00:00,0.1321239471435547,548395.156,10,838984864659,1,1,0.05020301789045334,-0.043381161987781525,-0.03784455358982086,-0.07072379440069199,-0.19927622377872467,0.9773879647254944,1,0.0500793419778347,-0.014693357981741428,-0.03701445087790489,-0.06963977962732315,-0.2561306953430176,0.9641304016113281,1,0.05034511908888817,-0.08340609818696976,-0.03895219787955284,-0.06923792511224747,-0.11661238968372345,0.9907611012458801
