participant_code,session_id,trial_id,condition_code,run_code,condition_name,study,environment,feedback_timing,modality,practice,trial_started_at_epoch,host_time_epoch,host_time_iso_utc,trial_elapsed_s,host_monotonic,pv_frame_index,pv_timestamp_hl2ss,eet_timestamp_hl2ss,pv_eet_delta_ms,eye_calibration_valid,combined_gaze_valid,projection_valid,pointer_in_frame,gaze_pixel_x_raw,gaze_pixel_y_raw,overlay_pixel_x_drawn,overlay_pixel_y_drawn,assumed_projection_distance_m,combined_origin_x,combined_origin_y,combined_origin_z,combined_direction_x,combined_direction_y,combined_direction_z
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.2866058,2026-08-27T18:51:08.286606+00:00,0.036881446838378906,548395.062,1,838983610760,838983603547,,1,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.3214653,2026-08-27T18:51:08.321465+00:00,0.07174086570739746,548395.093,2,838983943960,838983980440,3.648,1,1,1,1,834.6587097425715,340.6607150313629,834.6587097425715,340.6607150313629,1.5,0.050253015011548996,-0.04297846928238869,-0.03783212974667549,-0.06592819094657898,-0.21275155246257782,0.9748796820640564
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.3573303,2026-08-27T18:51:08.357330+00:00,0.1076059341430664,548395.125,3,838984277160,838984309096,3.1936,1,1,1,1,830.6350455043943,338.35299647208365,832.9687707625371,339.69147323646564,1.5,0.05023835599422455,-0.04294884577393532,-0.037831854075193405,-0.06829211115837097,-0.20917671918869019,0.975490391254425
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.3956764,2026-08-27T18:51:08.395676+00:00,0.1459519863128662,548395.171,4,838984610360,838984642435,3.2075,1,1,1,1,823.0953259918945,335.882965096737,828.8219239588673,338.0918998177797,1.5,0.05021781846880913,-0.04344664886593819,-0.037847649306058884,-0.07102252542972565,-0.20200768113136292,0.9768053889274597
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.4171207,2026-08-27T18:51:08.417121+00:00,0.16739630699157715,548395.187,5,838984943560,838984975772,3.2212,1,1,1,1,817.9144653820924,336.65937653299363,824.2407913566219,337.49024003816953,1.5,0.05019429326057434,-0.04327334463596344,-0.037841785699129105,-0.07054532319307327,-0.19733327627182007,0.9777949452400208
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.451172,2026-08-27T18:51:08.451172+00:00,0.2014477252960205,548395.218,6,838985276760,838985309111,3.2351,1,1,1,1,813.5037373771185,338.38334817302155,819.7312286852305,337.8653454548074,1.5,0.050188738852739334,-0.04316691309213638,-0.03782660514116287,-0.06910032033920288,-0.19329625368118286,0.9787042140960693
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.484156,2026-08-27T18:51:08.484156+00:00,0.23443150520324707,548395.25,7,838985609960,838985642450,3.249,1,1,1,1,808.1712959602733,338.55278294350956,814.8760569407484,338.15406920006234,1.5,0.05017877370119095,-0.04357495158910751,-0.037826426327228546,-0.06918935477733612,-0.18813781440258026,0.9797025918960571
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.5158858,2026-08-27T18:51:08.515886+00:00,0.2661614418029785,548395.281,8,838985943159,838985975788,3.2629,1,1,1,1,804.4226973361231,339.16704287036094,810.4856459068058,338.57951814158776,1.5,0.0501679889857769,-0.044184450060129166,-0.03784184902906418,-0.06875237822532654,-0.18428950011730194,0.980464518070221
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.5520966,2026-08-27T18:51:08.552097+00:00,0.3023722171783447,548395.328,9,838986276360,838986309127,3.2767,1,1,1,1,832.0408136508894,335.6192533090371,819.5388163593209,337.3362069119165,1.5,0.0501326359808445,-0.044208232313394547,-0.03795212134718895,-0.07077673077583313,-0.20980581641197205,0.975178062915802
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.587015,2026-08-27T18:51:08.587015+00:00,0.33729052543640137,548395.359,10,838986609559,838986642465,3.2906,1,1,1,1,828.0932014233003,335.2762673855485,823.1316580861924,336.47103231084196,1.5,0.05013815313577652,-0.04347599297761917,-0.037897225469350815,-0.07127358019351959,-0.20669303834438324,0.9758064150810242
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.6156383,2026-08-27T18:51:08.615638+00:00,0.36591386795043945,548395.39,11,838986942759,838986975804,3.3045,1,1,1,1,820.362413093079,332.6304495144234,821.9685751890847,334.8579875363462,1.5,0.050147779285907745,-0.044605400413274765,-0.037916623055934906,-0.0741901844739914,-0.1989709436893463,0.9771931171417236
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.6482463,2026-08-27T18:51:08.648246+00:00,0.39852190017700195,548395.421,12,838987275959,838987309142,3.3183,1,1,1,1,814.8934643604405,333.429295561177,818.9970286410542,334.25793690677517,1.5,0.05015218257904053,-0.04537288472056389,-0.03793701156973839,-0.0736873596906662,-0.19341513514518738,0.9783459901809692
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.682926,2026-08-27T18:51:08.682926+00:00,0.43320155143737793,548395.453,13,838987609159,838987642481,3.3322,1,1,1,1,815.340300454171,336.64693155719647,817.4612028025633,335.2613146599521,1.5,0.050156738609075546,-0.045516762882471085,-0.03793272003531456,-0.07056140899658203,-0.19362162053585052,0.9785356521606445
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.7224,2026-08-27T18:51:08.722400+00:00,0.4726755619049072,548395.484,14,838987942359,838987975819,,1,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.7536907,2026-08-27T18:51:08.753691+00:00,0.5039663314819336,548395.515,15,838988275559,838988309159,3.36,1,1,1,1,811.4373319309102,340.1899198845674,811.4373319309102,340.1899198845674,1.5,0.05015576630830765,-0.044785067439079285,-0.037917546927928925,-0.06733187288045883,-0.19038785994052887,0.9793972969055176
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.788571,2026-08-27T18:51:08.788571+00:00,0.538846492767334,548395.562,16,838988608759,838988642496,3.3737,1,1,1,1,806.3170808728868,341.83443503839555,809.2868264865403,340.8806162491752,1.5,0.05015498772263527,-0.04367658495903015,-0.037889059633016586,-0.06606999039649963,-0.18635933101177216,0.9802576303482056
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.8167372,2026-08-27T18:51:08.816737+00:00,0.5670127868652344,548395.593,17,838988941959,838988865611,7.6348,1,1,1,1,807.8150632398723,342.78293122679906,808.6686859229399,341.6795885397772,1.5,0.05015555024147034,-0.04302835464477539,-0.03787381947040558,-0.06494370102882385,-0.18837837874889374,0.9799469113349915
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.8485143,2026-08-27T18:51:08.848514+00:00,0.5987899303436279,548395.625,18,838989275159,838989237187,3.7972,1,1,1,1,806.9936141819237,343.0915427700394,807.9651557917131,342.2726093164873,1.5,0.050158675760030746,-0.04282892495393753,-0.03786659240722656,-0.06470796465873718,-0.18762297928333282,0.9801074862480164
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.8814273,2026-08-27T18:51:08.881427+00:00,0.6317028999328613,548395.656,19,838989608359,838989570526,3.7833,1,1,1,1,799.3693021823096,345.1650725991781,804.3548972757637,343.48744389521744,1.5,0.05015737563371658,-0.04297477751970291,-0.03786111995577812,-0.06306784600019455,-0.18037773668766022,0.9815735220909119
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.9210615,2026-08-27T18:51:08.921062+00:00,0.6713371276855469,548395.687,20,838989941559,838989903864,3.7695,1,1,1,1,793.1824758875302,346.61540588409116,799.6624802927057,344.8011879305444,1.5,0.05015575885772705,-0.04378046467900276,-0.037868306040763855,-0.061998650431632996,-0.17407265305519104,0.9827792644500732
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.9570692,2026-08-27T18:51:08.957069+00:00,0.7073447704315186,548395.718,21,838990274759,838990237203,3.7556,1,1,1,1,790.8307982344912,346.1955492107353,795.9531738282557,345.3868196682246,1.5,0.05014923959970474,-0.04428654536604881,-0.037867795675992966,-0.0625344067811966,-0.1716008335351944,0.9831799268722534
P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Joystick,Study 1,Gridworld,Requested Feedback,Joystick,1,1787856668.2497244,1787856668.9834447,2026-08-27T18:51:08.983445+00:00,0.7337203025817871,548395.75,22,838990607959,838990570540,3.7419,1,1,1,1,790.6305472448211,346.79962847572097,793.7176706632132,345.9801993673731,1.5,0.05014318600296974,-0.04477782920002937,-0.03787245228886604,-0.062011875212192535,-0.17110846936702728,0.9832988977432251
