timestamp,participant_id,session_id,trial_id,condition_code,run_code,condition_name,practice,episode,steps,total_reward,target_reached,human_feedback_given
1787761423.230088,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,1,2,-50.5,0,0
1787761423.446870,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,2,3,-52.0,0,0
1787761423.745059,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,3,4,-51.5,0,0
1787761423.825059,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,4,1,-50.0,0,0
1787761423.965150,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,5,2,-50.5,0,0
1787761424.043140,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,6,1,-50.0,0,0
1787761424.436724,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,7,6,-54.5,0,0
1787761424.515121,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,8,1,-50.0,0,0
1787761424.658068,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,9,2,-50.5,0,0
1787761424.924827,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,10,4,-51.5,0,0
1787761425.382959,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,11,7,-54.0,0,0
1787761426.104880,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,12,11,-59.0,0,0
1787761426.309133,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,13,3,-51.0,0,0
1787761426.643156,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,14,5,-54.0,0,0
1787761428.953685,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,15,8,-56.5,0,1
1787761429.157252,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,16,3,-51.0,0,0
1787761429.364174,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,17,3,-51.0,0,0
1787761429.822957,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,18,7,-54.0,0,0
1787761430.216153,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,19,6,-53.5,0,0
1787761430.358047,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,20,2,-50.5,0,0
1787761430.625875,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,21,4,-52.5,0,0
1787761430.704407,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,22,1,-50.0,0,0
1787761431.160998,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,23,7,-55.0,0,0
1787761431.428049,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,24,4,-51.5,0,0
1787761431.713915,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,25,4,-52.5,0,0
1787761434.329907,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,26,10,-58.5,0,1
1787761439.499127,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,27,28,-75.5,0,1
1787761439.641882,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,28,2,-50.5,0,0
1787761440.034877,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,29,6,-53.5,0,0
1787761440.380721,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,30,5,-52.0,0,0
1787761444.233866,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,31,15,-63.0,0,1
1787761446.099759,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,32,7,-55.0,0,1
1787761448.117771,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,33,7,-55.0,0,1
1787761450.349700,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,34,10,-56.5,0,1
1787761450.884393,P001,P001_S01,P001_S01_ST1TR_TR02_R01,TR02,R01,Gridworld_Requested_Voice,1,35,8,-55.5,0,0
