timestamp,event,participant_id,session_id,trial_id,episode,step,value
1787856672.154,TRIAL_STARTED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,,,TR03/R01
1787856672.157,PRACTICE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,,,
1787856672.162,RECORDING_STARTED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,,,HoloLens PV+EET -> D:\Courses\Independent Study 2\User_Study\Desktop App\hint_study_console_v1.2.1_ubuntu_study1b\hint_study_console_v1.2.1_ubuntu_study1b\data\P001\S01\Training\Study1\TR03_Gridworld_Requested_Voice\R01\sensors\hololens\pv_gaze.mp4 ; pointer=D:\Courses\Independent Study 2\User_Study\Desktop App\hint_study_console_v1.2.1_ubuntu_study1b\hint_study_console_v1.2.1_ubuntu_study1b\data\P001\S01\Training\Study1\TR03_Gridworld_Requested_Voice\R01\sensors\hololens\gaze.csv ; raw_eet=D:\Courses\Independent Study 2\User_Study\Desktop App\hint_study_console_v1.2.1_ubuntu_study1b\hint_study_console_v1.2.1_ubuntu_study1b\data\P001\S01\Training\Study1\TR03_Gridworld_Requested_Voice\R01\sensors\hololens\eet.csv
1787856672.165,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,1,0,
1787856672.290,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR03_R01,1,2,"(1, 1)"
1787856672.294,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,1,2,reward=-50.5
1787856672.297,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,2,0,
1787856672.495,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR03_R01,2,3,"(-1, 0)"
1787856672.498,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,2,3,reward=-52.0
1787856672.502,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,3,0,
1787856672.756,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR03_R01,3,4,"(-1, 3)"
1787856672.760,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,3,4,reward=-51.5
1787856672.763,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,4,0,
1787856672.818,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR03_R01,4,1,"(0, -1)"
1787856672.822,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,4,1,reward=-50.0
1787856672.825,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,5,0,
1787856672.943,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR03_R01,5,2,"(1, 1)"
1787856672.946,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,5,2,reward=-50.5
1787856672.950,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,6,0,
1787856673.005,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR03_R01,6,1,"(0, -1)"
1787856673.009,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,6,1,reward=-50.0
1787856673.013,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,7,0,
1787856673.392,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR03_R01,7,6,"(1, -1)"
1787856673.396,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,7,6,reward=-54.5
1787856673.399,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,8,0,
1787856673.469,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR03_R01,8,1,"(0, -1)"
1787856673.472,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,8,1,reward=-50.0
1787856673.476,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,9,0,
1787856673.606,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR03_R01,9,2,"(1, 1)"
1787856673.610,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,9,2,reward=-50.5
1787856673.614,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,10,0,
1787856673.634,PRACTICE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,,,
1787856673.638,TRIAL_ENDED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,,,Valid; TR03/R01
1787856673.644,RECORDING_STOPPED,P001,P001_S01,P001_S01_ST1TR_TR03_R01,,,"HoloLens PV+EET: 45 video frames, 133 EET samples -> D:\Courses\Independent Study 2\User_Study\Desktop App\hint_study_console_v1.2.1_ubuntu_study1b\hint_study_console_v1.2.1_ubuntu_study1b\data\P001\S01\Training\Study1\TR03_Gridworld_Requested_Voice\R01\sensors\hololens"
