timestamp,event,participant_id,session_id,trial_id,episode,step,value
1787856676.195,TRIAL_STARTED,P001,P001_S01,P001_S01_ST1TR_TR04_R01,,,TR04/R01
1787856676.199,PRACTICE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR04_R01,,,
1787856676.207,RECORDING_STARTED,P001,P001_S01,P001_S01_ST1TR_TR04_R01,,,HoloLens PV+EET -> D:\Courses\Independent Study 2\User_Study\Desktop App\hint_study_console_v1.2.1_ubuntu_study1b\hint_study_console_v1.2.1_ubuntu_study1b\data\P001\S01\Training\Study1\TR04_Gridworld_Requested_Gaze\R01\sensors\hololens\pv_gaze.mp4 ; pointer=D:\Courses\Independent Study 2\User_Study\Desktop App\hint_study_console_v1.2.1_ubuntu_study1b\hint_study_console_v1.2.1_ubuntu_study1b\data\P001\S01\Training\Study1\TR04_Gridworld_Requested_Gaze\R01\sensors\hololens\gaze.csv ; raw_eet=D:\Courses\Independent Study 2\User_Study\Desktop App\hint_study_console_v1.2.1_ubuntu_study1b\hint_study_console_v1.2.1_ubuntu_study1b\data\P001\S01\Training\Study1\TR04_Gridworld_Requested_Gaze\R01\sensors\hololens\eet.csv
1787856676.211,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR04_R01,1,0,
1787856676.335,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR04_R01,1,2,"(1, 1)"
1787856676.340,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR04_R01,1,2,reward=-50.5
1787856676.345,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR04_R01,2,0,
1787856676.537,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR04_R01,2,3,"(-1, 0)"
1787856676.541,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR04_R01,2,3,reward=-52.0
1787856676.546,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR04_R01,3,0,
1787856676.796,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR04_R01,3,4,"(-1, 3)"
1787856676.800,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR04_R01,3,4,reward=-51.5
1787856676.805,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR04_R01,4,0,
1787856676.872,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR04_R01,4,1,"(0, -1)"
1787856676.876,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR04_R01,4,1,reward=-50.0
