timestamp,participant_id,session_id,trial_id,condition_code,run_code,condition_name,practice,study,environment,feedback_timing,modality,episode,step,state_before_row,state_before_col,action,action_name,state_after_row,state_after_col,reward,total_reward,done,target_reached,collision,entropy_coef,ambiguity_detected
1787856676.278358,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1,0,0,3,RIGHT,0,1,-0.5,-0.5,0,0,0,0.05,0
1787856676.335296,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,2,0,1,1,DOWN,1,1,-50.0,-50.5,1,0,1,0.049975000000000006,0
1787856676.412071,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,2,1,0,0,3,RIGHT,0,1,-0.5,-0.5,0,0,0,0.049975000000000006,0
1787856676.473366,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,2,2,0,1,2,LEFT,0,0,-1.5,-2.0,0,0,0,0.049975000000000006,0
1787856676.536927,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,2,3,0,0,0,UP,-1,0,-50.0,-52.0,1,0,1,0.04995001250000001,0
1787856676.597863,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,3,1,0,0,3,RIGHT,0,1,-0.5,-0.5,0,0,0,0.04995001250000001,0
1787856676.667391,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,3,2,0,1,3,RIGHT,0,2,-0.5,-1.0,0,0,0,0.04995001250000001,0
1787856676.729720,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,3,3,0,2,3,RIGHT,0,3,-0.5,-1.5,0,0,0,0.04995001250000001,0
1787856676.795663,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,3,4,0,3,0,UP,-1,3,-50.0,-51.5,1,0,1,0.04992503749375001,0
1787856676.872398,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,4,1,0,0,2,LEFT,0,-1,-50.0,-50.0,1,0,1,0.049900074975003136,0
1787856676.948654,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,5,1,0,0,1,DOWN,1,0,-0.5,-0.5,0,0,0,0.049900074975003136,0
1787856677.006233,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,5,2,1,0,3,RIGHT,1,1,-50.0,-50.5,1,0,1,0.049875124937515634,0
1787856677.085832,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,6,1,0,0,2,LEFT,0,-1,-50.0,-50.0,1,0,1,0.04985018737504688,0
1787856677.161041,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,7,1,0,0,3,RIGHT,0,1,-0.5,-0.5,0,0,0,0.04985018737504688,0
1787856677.236776,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,7,2,0,1,2,LEFT,0,0,-1.5,-2.0,0,0,0,0.04985018737504688,0
1787856677.297709,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,7,3,0,0,1,DOWN,1,0,-0.5,-2.5,0,0,0,0.04985018737504688,0
1787856677.351298,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,7,4,1,0,1,DOWN,2,0,-0.5,-3.0,0,0,0,0.04985018737504688,0
1787856677.418180,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,7,5,2,0,0,UP,1,0,-1.5,-4.5,0,0,0,0.04985018737504688,0
1787856677.474930,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,7,6,1,0,2,LEFT,1,-1,-50.0,-54.5,1,0,1,0.04982526228135936,0
1787856677.551046,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,8,1,0,0,2,LEFT,0,-1,-50.0,-50.0,1,0,1,0.049800349650218685,0
1787856677.615040,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,9,1,0,0,3,RIGHT,0,1,-0.5,-0.5,0,0,0,0.049800349650218685,0
1787856677.676150,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,9,2,0,1,1,DOWN,1,1,-50.0,-50.5,1,0,1,0.04977544947539358,0
1787856677.751191,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,10,1,0,0,3,RIGHT,0,1,-0.5,-0.5,0,0,0,0.04977544947539358,0
1787856677.811235,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,10,2,0,1,3,RIGHT,0,2,-0.5,-1.0,0,0,0,0.04977544947539358,0
1787856677.868659,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,10,3,0,2,3,RIGHT,0,3,-0.5,-1.5,0,0,0,0.04977544947539358,0
1787856677.931628,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,10,4,0,3,1,DOWN,1,3,-50.0,-51.5,1,0,1,0.04975056175065588,0
1787856678.007269,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,11,1,0,0,1,DOWN,1,0,-0.5,-0.5,0,0,0,0.04975056175065588,0
1787856678.068242,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,11,2,1,0,0,UP,0,0,-1.5,-2.0,0,0,0,0.04975056175065588,0
1787856678.143429,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,11,3,0,0,1,DOWN,1,0,-0.5,-2.5,0,0,0,0.04975056175065588,0
1787856678.203490,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,11,4,1,0,1,DOWN,2,0,-0.5,-3.0,0,0,0,0.04975056175065588,0
1787856678.265368,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,11,5,2,0,3,RIGHT,2,1,-0.5,-3.5,0,0,0,0.04975056175065588,0
1787856678.325281,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,11,6,2,1,3,RIGHT,2,2,-0.5,-4.0,0,0,0,0.04975056175065588,0
1787856678.385372,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,11,7,2,2,1,DOWN,3,2,-50.0,-54.0,1,0,1,0.04972568646978056,0
1787856678.461580,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,12,1,0,0,1,DOWN,1,0,-0.5,-0.5,0,0,0,0.04972568646978056,0
1787856678.522309,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,12,2,1,0,1,DOWN,2,0,-0.5,-1.0,0,0,0,0.04972568646978056,0
1787856678.583039,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,12,3,2,0,0,UP,1,0,-1.5,-2.5,0,0,0,0.04972568646978056,0
1787856678.658828,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,12,4,1,0,0,UP,0,0,-1.5,-4.0,0,0,0,0.04972568646978056,0
1787856678.710833,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,12,5,0,0,1,DOWN,1,0,-0.5,-4.5,0,0,0,0.04972568646978056,0
1787856678.779245,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,12,6,1,0,0,UP,0,0,-1.5,-6.0,0,0,0,0.04972568646978056,0
1787856678.839693,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,12,7,0,0,3,RIGHT,0,1,-0.5,-6.5,0,0,0,0.04972568646978056,0
1787856678.899956,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,12,8,0,1,2,LEFT,0,0,-1.5,-8.0,0,0,0,0.04972568646978056,0
1787856678.960238,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,12,9,0,0,3,RIGHT,0,1,-0.5,-8.5,0,0,0,0.04972568646978056,0
1787856679.020523,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,12,10,0,1,3,RIGHT,0,2,-0.5,-9.0,0,0,0,0.04972568646978056,0
1787856679.096598,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,12,11,0,2,1,DOWN,1,2,-50.0,-59.0,1,0,1,0.049700823626545675,0
1787856679.187185,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,13,1,0,0,3,RIGHT,0,1,-0.5,-0.5,0,0,0,0.049700823626545675,0
1787856679.246803,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,13,2,0,1,3,RIGHT,0,2,-0.5,-1.0,0,0,0,0.049700823626545675,0
1787856679.311588,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,13,3,0,2,1,DOWN,1,2,-50.0,-51.0,1,0,1,0.049675973214732404,0
1787856679.391094,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,14,1,0,0,1,DOWN,1,0,-0.5,-0.5,0,0,0,0.049675973214732404,0
1787856679.454566,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,14,2,1,0,1,DOWN,2,0,-0.5,-1.0,0,0,0,0.049675973214732404,0
1787856679.517366,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,14,3,2,0,0,UP,1,0,-1.5,-2.5,0,0,0,0.049675973214732404,0
1787856679.580620,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,14,4,1,0,0,UP,0,0,-1.5,-4.0,0,0,0,0.049675973214732404,0
1787856679.643976,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,14,5,0,0,0,UP,-1,0,-50.0,-54.0,1,0,1,0.04965113522812504,0
1787856679.723534,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,15,1,0,0,3,RIGHT,0,1,-0.5,-0.5,0,0,0,0.04965113522812504,0
1787856679.786846,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,15,2,0,1,3,RIGHT,0,2,-0.5,-1.0,0,0,0,0.04965113522812504,0
1787856679.850612,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,15,3,0,2,2,LEFT,0,1,-1.5,-2.5,0,0,0,0.04965113522812504,0
1787856679.913987,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,15,4,0,1,3,RIGHT,0,2,-0.5,-3.0,0,0,0,0.04965113522812504,0
1787856679.977296,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,15,5,0,2,2,LEFT,0,1,-1.5,-4.5,0,0,0,0.04965113522812504,0
1787856680.040889,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,15,6,0,1,3,RIGHT,0,2,-0.5,-5.0,0,0,0,0.04965113522812504,1
1787856683.688661,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,15,7,0,2,3,RIGHT,0,3,-0.5,-5.5,0,0,0,0.04965113522812504,0
1787856683.804317,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,15,8,0,3,1,DOWN,1,3,-50.0,-55.5,1,0,1,0.04962630966051098,0
1787856683.960272,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,16,1,0,0,1,DOWN,1,0,-0.5,-0.5,0,0,0,0.04962630966051098,0
1787856684.020813,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,16,2,1,0,1,DOWN,2,0,-0.5,-1.0,0,0,0,0.04962630966051098,0
1787856684.095359,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,16,3,2,0,2,LEFT,2,-1,-50.0,-51.0,1,0,1,0.04960149650568073,0
1787856684.239873,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,17,1,0,0,1,DOWN,1,0,-0.5,-0.5,0,0,0,0.04960149650568073,0
1787856684.301955,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,17,2,1,0,1,DOWN,2,0,-0.5,-1.0,0,0,0,0.04960149650568073,0
1787856684.367468,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,17,3,2,0,2,LEFT,2,-1,-50.0,-51.0,1,0,1,0.04957669575742789,0
1787856684.513003,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,18,1,0,0,1,DOWN,1,0,-0.5,-0.5,0,0,0,0.04957669575742789,0
1787856684.579792,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,18,2,1,0,1,DOWN,2,0,-0.5,-1.0,0,0,0,0.04957669575742789,0
1787856684.640013,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,18,3,2,0,1,DOWN,3,0,-0.5,-1.5,0,0,0,0.04957669575742789,0
1787856684.701277,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,18,4,3,0,0,UP,2,0,-1.5,-3.0,0,0,0,0.04957669575742789,0
1787856684.757350,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,18,5,2,0,1,DOWN,3,0,-0.5,-3.5,0,0,0,0.04957669575742789,0
1787856684.822860,P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,1,Study 1,Gridworld,Requested Feedback,Eye Gaze,18,6,3,0,1,DOWN,4,0,-0.5,-4.0,0,0,0,0.04957669575742789,0
