participant_code,session_id,trial_id,condition_code,run_code,condition_name,study,environment,feedback_timing,modality,practice,trial_started_at_epoch,host_time_epoch,host_time_iso_utc,trial_elapsed_s,host_monotonic,eet_sample_index,eet_timestamp_hl2ss,calibration_valid,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_direction_x,combined_direction_y,combined_direction_z,left_valid,left_origin_x,left_origin_y,left_origin_z,left_direction_x,left_direction_y,left_direction_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_direction_x,right_direction_y,right_direction_z
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.2219973,2026-08-27T18:51:16.221997+00:00,0.03399801254272461,548402.984,1,839063340581,1,1,0.04984324425458908,-0.043917082250118256,-0.038020435720682144,-0.08723428845405579,-0.19898715615272522,0.9761119484901428,1,0.04973690211772919,-0.014721103943884373,-0.03719327598810196,-0.08716180175542831,-0.2562558054924011,0.9626712203025818,1,0.049983911216259,-0.08347298204898834,-0.039131488651037216,-0.08689066022634506,-0.1205311119556427,0.9888995885848999
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.2229977,2026-08-27T18:51:16.222998+00:00,0.034998416900634766,548403.0,2,839063451694,1,1,0.049842700362205505,-0.044105615466833115,-0.038020748645067215,-0.0869639664888382,-0.19790445268154144,0.9763559699058533,1,0.049729567021131516,-0.014701451174914837,-0.03719818592071533,-0.08645720779895782,-0.25543245673179626,0.9629533886909485,1,0.04998528212308884,-0.08343525230884552,-0.039086826145648956,-0.08601366728544235,-0.11763505637645721,0.9893248677253723
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.249098,2026-08-27T18:51:16.249098+00:00,0.06109881401062012,548403.015,3,839063562806,1,1,0.04984315112233162,-0.044428661465644836,-0.03802408277988434,-0.08695942163467407,-0.19620156288146973,0.9767001867294312,1,0.049730703234672546,-0.014695549383759499,-0.037185586988925934,-0.0869273915886879,-0.25511491298675537,0.9629952907562256,1,0.04998384788632393,-0.08342339098453522,-0.03907259553670883,-0.08658352494239807,-0.1166224256157875,0.9893950819969177
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.254098,2026-08-27T18:51:16.254098+00:00,0.06609869003295898,548403.031,4,839063673919,1,1,0.04984474554657936,-0.045025914907455444,-0.03803547844290733,-0.08706142008304596,-0.19337734580039978,0.9772540926933289,1,0.04972921311855316,-0.014693264849483967,-0.03717503696680069,-0.08721601217985153,-0.25515231490135193,0.962959349155426,1,0.0499839186668396,-0.08341837674379349,-0.03906736150383949,-0.08690642565488815,-0.1163301095366478,0.9894011616706848
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.2683573,2026-08-27T18:51:16.268357+00:00,0.08035802841186523,548403.031,5,839063785031,1,1,0.04984460026025772,-0.04514721408486366,-0.038034677505493164,-0.0870666652917862,-0.19227240979671478,0.977471649646759,1,0.04972747713327408,-0.014674961566925049,-0.037178315222263336,-0.08705068379640579,-0.25344663858413696,0.963424563407898,1,0.04998354986310005,-0.0833955928683281,-0.03905397281050682,-0.086680568754673,-0.11411506682634354,0.9896789193153381
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.2683573,2026-08-27T18:51:16.268357+00:00,0.08035802841186523,548403.031,6,839063896144,1,1,0.049845315515995026,-0.045450303703546524,-0.03803902491927147,-0.08703392744064331,-0.1902238130569458,0.9778753519058228,1,0.04972792789340019,-0.014670156873762608,-0.03717070817947388,-0.08689460903406143,-0.25305527448654175,0.9635416269302368,1,0.04998356103897095,-0.08339433372020721,-0.039047908037900925,-0.08664862811565399,-0.11398318409919739,0.9896969199180603
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.2891147,2026-08-27T18:51:16.289115+00:00,0.10111546516418457,548403.062,7,839064007256,1,1,0.04984613135457039,-0.045728906989097595,-0.03804311528801918,-0.08670344948768616,-0.18793031573295593,0.9783480763435364,1,0.049724332988262177,-0.014653988182544708,-0.03717374429106712,-0.08611839264631271,-0.2512211799621582,0.9640910625457764,1,0.049989182502031326,-0.08337961882352829,-0.039035309106111526,-0.08566340059041977,-0.11229170858860016,0.9899759888648987
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.2891147,2026-08-27T18:51:16.289115+00:00,0.10111546516418457,548403.062,8,839064118370,1,1,0.0498463474214077,-0.0459432452917099,-0.03804626315832138,-0.08655720949172974,-0.18505893647670746,0.9789081811904907,1,0.04971708357334137,-0.014622078277170658,-0.037177350372076035,-0.08642221242189407,-0.24627172946929932,0.9653400182723999,1,0.04998838156461716,-0.08336756378412247,-0.03903251886367798,-0.08581728488206863,-0.10957404971122742,0.9902670383453369
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.3045638,2026-08-27T18:51:16.304564+00:00,0.11656451225280762,548403.078,9,839064229482,1,1,0.049846939742565155,-0.04648274555802345,-0.03805422782897949,-0.08662380278110504,-0.1821279525756836,0.9794517755508423,1,0.04971342533826828,-0.014631088823080063,-0.03716861084103584,-0.08685579150915146,-0.2482394576072693,0.9647969603538513,1,0.04998239129781723,-0.08335461467504501,-0.03902103751897812,-0.08634212613105774,-0.1091410368680954,0.9902693033218384
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.321803,2026-08-27T18:51:16.321803+00:00,0.1338038444519043,548403.093,10,839064340595,1,1,0.0498465821146965,-0.04687583073973656,-0.03805882856249809,-0.08631637692451477,-0.18115746974945068,0.9796589612960815,1,0.04971149563789368,-0.01461420301347971,-0.03717895597219467,-0.08585259318351746,-0.24660581350326538,0.9653056263923645,1,0.04997942969202995,-0.08334911614656448,-0.03901643678545952,-0.08530842512845993,-0.10872680693864822,0.9904043674468994
