participant_code,session_id,trial_id,condition_code,run_code,condition_name,study,environment,feedback_timing,modality,practice,trial_started_at_epoch,host_time_epoch,host_time_iso_utc,trial_elapsed_s,host_monotonic,pv_frame_index,pv_timestamp_hl2ss,eet_timestamp_hl2ss,pv_eet_delta_ms,eye_calibration_valid,combined_gaze_valid,projection_valid,pointer_in_frame,gaze_pixel_x_raw,gaze_pixel_y_raw,overlay_pixel_x_drawn,overlay_pixel_y_drawn,assumed_projection_distance_m,combined_origin_x,combined_origin_y,combined_origin_z,combined_direction_x,combined_direction_y,combined_direction_z
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.2259998,2026-08-27T18:51:16.226000+00:00,0.03800058364868164,548403.0,1,839062912332,839062896129,,1,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.248003,2026-08-27T18:51:16.248003+00:00,0.06000375747680664,548403.015,2,839063245532,839063229468,1.6064,1,1,1,1,819.3217444339598,318.6938607131807,819.3217444339598,318.6938607131807,1.5,0.04984435439109802,-0.044023845344781876,-0.038025494664907455,-0.08723200857639313,-0.19868427515029907,0.9761738777160645
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.2793598,2026-08-27T18:51:16.279360+00:00,0.09136056900024414,548403.046,3,839063578731,839063562806,1.5925,1,1,1,1,816.8863310108648,319.1218503635054,818.29887079626,318.8736163663171,1.5,0.04984315112233162,-0.044428661465644836,-0.03802408277988434,-0.08695942163467407,-0.19620156288146973,0.9767001867294312
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.315794,2026-08-27T18:51:16.315794+00:00,0.12779474258422852,548403.078,4,839063911932,839063896144,1.5788,1,1,1,1,811.1098724177205,319.33684665535225,815.2794914772735,319.0681730877119,1.5,0.049845315515995026,-0.045450303703546524,-0.03803902491927147,-0.08703392744064331,-0.1902238130569458,0.9778753519058228
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.3538108,2026-08-27T18:51:16.353811+00:00,0.16581153869628906,548403.125,5,839064245131,839064229482,1.5649,1,1,1,1,803.1008622356053,320.19256308084897,810.1644671957729,319.5404168848295,1.5,0.049846939742565155,-0.04648274555802345,-0.03805422782897949,-0.08662380278110504,-0.1821279525756836,0.9794517755508423
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.3816078,2026-08-27T18:51:16.381608+00:00,0.19360852241516113,548403.156,6,839064578331,839064606556,2.8225,1,1,1,1,803.5266464841116,320.5015056940136,807.3765824968752,319.9440741846868,1.5,0.04984276741743088,-0.047201383858919144,-0.0380588062107563,-0.08643877506256104,-0.18177597224712372,0.9795335531234741
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.4160721,2026-08-27T18:51:16.416072+00:00,0.2280728816986084,548403.187,7,839064911531,839064935230,2.3699,1,1,1,1,800.1483583775948,319.9326561631539,804.3407283667775,319.93927861564305,1.5,0.04983384907245636,-0.04720687493681908,-0.03805379942059517,-0.08710558712482452,-0.17872732877731323,0.9800353050231934
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.449493,2026-08-27T18:51:16.449493+00:00,0.2614936828613281,548403.218,8,839065244730,839065268566,2.3836,1,1,1,1,797.6336554154113,318.5775705097632,801.5237577272037,319.3673612111735,1.5,0.04982275143265724,-0.046662118285894394,-0.03803398460149765,-0.08849066495895386,-0.17680957913398743,0.980259120464325
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.4833648,2026-08-27T18:51:16.483365+00:00,0.295365571975708,548403.25,9,839065577931,839065601900,2.3969,1,1,1,1,794.8908317918008,319.34555431265966,798.7379288343345,319.35820231379773,1.5,0.049816012382507324,-0.046399377286434174,-0.03802337124943733,-0.08787854015827179,-0.17440460622310638,0.9807448983192444
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.5132995,2026-08-27T18:51:16.513299+00:00,0.3253002166748047,548403.281,10,839065911130,839065935234,2.4104,1,1,1,1,789.7860945917613,320.32600536441305,794.9781584524538,319.76467959505624,1.5,0.049817681312561035,-0.04705464094877243,-0.038031239062547684,-0.08720190823078156,-0.16917602717876434,0.9817207455635071
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.5564404,2026-08-27T18:51:16.556440+00:00,0.368441104888916,548403.328,11,839066244330,839066268567,2.4237,1,1,1,1,786.2125414285902,322.1904392596027,791.2965993024311,320.7834986541658,1.5,0.04982348904013634,-0.04779443517327309,-0.03803958371281624,-0.08559449017047882,-0.16527318954467773,0.9825266003608704
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.5978634,2026-08-27T18:51:16.597863+00:00,0.4098641872406006,548403.359,12,839066577530,839066601903,2.4373,1,1,1,1,784.3166382920208,323.5976003444725,788.3650156780589,321.9654213640946,1.5,0.049830880016088486,-0.04833971709012985,-0.03804656118154526,-0.08434641361236572,-0.16308896243572235,0.9829994440078735
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.6168797,2026-08-27T18:51:16.616880+00:00,0.4288804531097412,548403.39,13,839066910729,839066935236,2.4507,1,1,1,1,780.2434604514916,324.96527372412766,784.9539624829007,323.2253593553085,1.5,0.049840547144412994,-0.049280740320682526,-0.03806662932038307,-0.08326677978038788,-0.15860985219478607,0.9838240146636963
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.647004,2026-08-27T18:51:16.647004+00:00,0.45900464057922363,548403.421,14,839067243929,839067268571,,1,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.6795197,2026-08-27T18:51:16.679520+00:00,0.49152040481567383,548403.453,15,839067577129,839067601903,,1,0,0,0,,,,,1.5,0.0,0.0,0.0,0.0,0.0,0.0
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.720867,2026-08-27T18:51:16.720867+00:00,0.5328676700592041,548403.484,16,839067910329,839067935238,2.4909,1,1,1,1,867.9796635091519,307.4251869486517,867.9796635091519,307.4251869486517,1.5,0.04982070252299309,-0.050195012241601944,-0.03834965452551842,-0.09543929994106293,-0.23868395388126373,0.9663960933685303
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.7566984,2026-08-27T18:51:16.756698+00:00,0.5686991214752197,548403.531,17,839068243529,839068268571,2.5042,1,1,1,1,864.221050158126,310.28402222236946,866.4010459017211,308.6258977636132,1.5,0.04982517659664154,-0.050770875066518784,-0.03835543245077133,-0.09296868741512299,-0.23487217724323273,0.9675701856613159
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.780959,2026-08-27T18:51:16.780959+00:00,0.5929596424102783,548403.546,18,839068576728,839068601907,2.5179,1,1,1,1,859.1906790102148,310.80299967799186,863.3726918072884,309.54028056765225,1.5,0.049825504422187805,-0.05105297267436981,-0.038349900394678116,-0.09270741790533066,-0.23014403879642487,0.9687307476997375
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.8146641,2026-08-27T18:51:16.814664+00:00,0.6266648769378662,548403.578,19,839068909928,839068935240,2.5312,1,1,1,1,852.8776427579595,311.5511803499605,858.9647712065704,310.3848584762217,1.5,0.04982820153236389,-0.05125559866428375,-0.03833814710378647,-0.09229637682437897,-0.2242869883775711,0.9701427221298218
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.8477643,2026-08-27T18:51:16.847764+00:00,0.6597650051116943,548403.609,20,839069243128,839069268575,2.5447,1,1,1,1,842.8807260351275,313.702038822429,852.2094722345644,311.7780742216288,1.5,0.0498369075357914,-0.05192149057984352,-0.03832423686981201,-0.09077899158000946,-0.21475383639335632,0.9724403619766235
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.8864005,2026-08-27T18:51:16.886400+00:00,0.6984012126922607,548403.656,21,839069576328,839069645654,6.9326,1,1,1,1,839.1579929640554,317.51157891860817,846.7278509409507,314.18614619436016,1.5,0.04984952509403229,-0.05148664116859436,-0.03827783092856407,-0.08717526495456696,-0.21091420948505402,0.9736096262931824
P001,P001_S01,P001_S01_ST1TR_TR04_R01,TR04,R01,Gridworld_Requested_Gaze,Study 1,Gridworld,Requested Feedback,Eye Gaze,1,1787856676.1879992,1787856676.915249,2026-08-27T18:51:16.915249+00:00,0.7272498607635498,548403.687,22,839069909528,839069863264,4.6264,1,1,1,1,835.6521511292106,320.5702140855194,842.0760570200199,316.8674547086471,1.5,0.04985715076327324,-0.05047321692109108,-0.038225118070840836,-0.08503361791372299,-0.20992812514305115,0.9740121364593506
