timestamp,event,participant_id,session_id,trial_id,episode,step,value
1787751024.633,TRIAL_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,,,TR05/R01
1787751024.640,PRACTICE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,,,
1787751024.648,EXPERIMENTER_NOTE,P001,P001_S01,P001_S01_ST1TR_TR05_R01,,,HoloLens recording NOT started: [Errno 2] No such file or directory: 'D:\\Courses\\Independent Study 2\\User_Study\\Desktop App\\hint_study_console_v1.1.3_hololens_study_recording\\hint_study_console_v1.1.3_hololens_study_recording\\data\\P001\\S01\\Training\\Study1\\TR05_Gridworld_Anytime_Keyboard\\R01\\sensors\\hololens\\hololens_gaze_pointer.csv'
1787751024.655,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,1,0,
1787751024.788,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,1,2,"(1, 1)"
1787751024.797,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,1,2,reward=-50.5
1787751024.804,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,2,0,
1787751024.975,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,2,3,"(-1, 0)"
1787751024.982,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,2,3,reward=-52.0
1787751024.989,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,3,0,
1787751025.227,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,3,4,"(-1, 3)"
1787751025.234,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,3,4,reward=-51.5
1787751025.241,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,4,0,
1787751025.290,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,4,1,"(0, -1)"
1787751025.302,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,4,1,reward=-50.0
1787751025.309,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,5,0,
1787751025.415,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,5,2,"(1, 1)"
1787751025.422,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,5,2,reward=-50.5
1787751025.429,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,6,0,
1787751025.477,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,6,1,"(0, -1)"
1787751025.485,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,6,1,reward=-50.0
1787751025.492,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,7,0,
1787751025.852,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,7,6,"(1, -1)"
1787751025.859,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,7,6,reward=-54.5
1787751025.866,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,8,0,
1787751025.914,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,8,1,"(0, -1)"
1787751025.922,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,8,1,reward=-50.0
1787751025.930,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,9,0,
1787751026.039,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,9,2,"(1, 1)"
1787751026.046,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,9,2,reward=-50.5
1787751026.055,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,10,0,
1787751026.287,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,10,4,"(1, 3)"
1787751026.294,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,10,4,reward=-51.5
1787751026.302,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,11,0,
1787751026.724,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,11,7,"(3, 2)"
1787751026.731,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,11,7,reward=-54.0
1787751026.740,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,12,0,
1787751027.411,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,12,11,"(1, 2)"
1787751027.419,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,12,11,reward=-59.0
1787751027.426,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,13,0,
1787751027.599,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,13,3,"(1, 2)"
1787751027.607,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,13,3,reward=-51.0
1787751027.615,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,14,0,
1787751027.912,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,14,5,"(-1, 0)"
1787751027.920,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,14,5,reward=-54.0
1787751027.928,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,15,0,
1787751028.290,CRITICAL_STATE,P001,P001_S01,P001_S01_ST1TR_TR05_R01,15,6,"state=(0, 2);method=oscillation_pattern"
1787751028.353,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,15,7,"(-1, 2)"
1787751028.361,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,15,7,reward=-55.0
1787751028.369,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,16,0,
1787751028.540,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,16,3,"(2, -1)"
1787751028.549,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,16,3,reward=-51.0
1787751028.557,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,17,0,
1787751028.725,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,17,3,"(2, -1)"
1787751028.733,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,17,3,reward=-51.0
1787751028.741,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,18,0,
1787751029.162,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,18,7,"(5, 0)"
1787751029.170,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,18,7,reward=-54.0
1787751029.178,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,19,0,
1787751029.285,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,19,2,"(-1, 1)"
1787751029.294,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,19,2,reward=-50.5
1787751029.302,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,20,0,
1787751029.542,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,20,4,"(3, -1)"
1787751029.550,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,20,4,reward=-51.5
1787751029.559,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,21,0,
1787751029.668,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,21,2,"(1, -1)"
1787751029.676,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,21,2,reward=-50.5
1787751029.685,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,22,0,
1787751029.919,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,22,4,"(1, 1)"
1787751029.927,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,22,4,reward=-52.5
1787751029.935,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,23,0,
1787751029.982,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,23,1,"(-1, 0)"
1787751029.990,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,23,1,reward=-50.0
1787751030.008,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,24,0,
1787751030.212,ANYTIME_FEEDBACK_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,24,3,"pause_state=(3, 0);history_steps=0,1,2,3"
1787751035.014,FEEDBACK_RECEIVED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,24,2,Keyboard:RIGHT
1787751035.022,FEEDBACK_APPLIED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,24,2,Keyboard:RIGHT
1787751035.216,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,24,6,"(1, 1)"
1787751035.224,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,24,6,reward=-53.5
1787751035.233,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,25,0,
1787751035.711,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,25,8,"(3, 1)"
1787751035.719,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,25,8,reward=-55.5
1787751035.728,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,26,0,
1787751036.332,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR05_R01,26,10,"(-1, 1)"
1787751036.341,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,26,10,reward=-58.5
1787751036.350,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR05_R01,27,0,
