timestamp,event,participant_id,session_id,trial_id,episode,step,value
1787751044.627,TRIAL_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,,,TR06/R01
1787751044.637,PRACTICE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,,,
1787751044.649,EXPERIMENTER_NOTE,P001,P001_S01,P001_S01_ST1TR_TR06_R01,,,HoloLens recording NOT started: [Errno 2] No such file or directory: 'D:\\Courses\\Independent Study 2\\User_Study\\Desktop App\\hint_study_console_v1.1.3_hololens_study_recording\\hint_study_console_v1.1.3_hololens_study_recording\\data\\P001\\S01\\Training\\Study1\\TR06_Gridworld_Anytime_Joystick\\R01\\sensors\\hololens\\hololens_gaze_pointer.csv'
1787751044.659,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,1,0,
1787751044.792,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,1,2,"(1, 1)"
1787751044.803,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,1,2,reward=-50.5
1787751044.813,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,2,0,
1787751044.980,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,2,3,"(-1, 0)"
1787751044.990,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,2,3,reward=-52.0
1787751044.999,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,3,0,
1787751045.224,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,3,4,"(-1, 3)"
1787751045.234,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,3,4,reward=-51.5
1787751045.244,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,4,0,
1787751045.286,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,4,1,"(0, -1)"
1787751045.296,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,4,1,reward=-50.0
1787751045.306,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,5,0,
1787751045.417,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,5,2,"(1, 1)"
1787751045.427,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,5,2,reward=-50.5
1787751045.437,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,6,0,
1787751045.480,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,6,1,"(0, -1)"
1787751045.490,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,6,1,reward=-50.0
1787751045.501,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,7,0,
1787751045.852,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,7,6,"(1, -1)"
1787751045.862,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,7,6,reward=-54.5
1787751045.872,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,8,0,
1787751045.914,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,8,1,"(0, -1)"
1787751045.924,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,8,1,reward=-50.0
1787751045.934,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,9,0,
1787751046.038,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,9,2,"(1, 1)"
1787751046.048,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,9,2,reward=-50.5
1787751046.058,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,10,0,
1787751046.154,ANYTIME_FEEDBACK_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,10,1,"pause_state=(0, 1);history_steps=0,1"
1787751050.680,FEEDBACK_RECEIVED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,10,0,Keyboard:DOWN
1787751050.690,FEEDBACK_APPLIED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,10,0,Keyboard:DOWN
1787751050.894,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,10,4,"(1, 3)"
1787751050.904,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,10,4,reward=-51.5
1787751050.914,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,11,0,
1787751051.317,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,11,7,"(3, 2)"
1787751051.328,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,11,7,reward=-54.0
1787751051.338,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,12,0,
1787751052.070,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,12,12,"(3, 1)"
1787751052.080,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,12,12,reward=-59.5
1787751052.091,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,13,0,
1787751052.319,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,13,4,"(3, -1)"
1787751052.330,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,13,4,reward=-51.5
1787751052.342,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,14,0,
1787751052.574,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,14,4,"(1, -1)"
1787751052.585,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,14,4,reward=-52.5
1787751052.596,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,15,0,
1787751052.823,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,15,4,"(3, 1)"
1787751052.833,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,15,4,reward=-51.5
1787751052.845,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,16,0,
1787751053.140,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,16,5,"(2, -1)"
1787751053.151,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,16,5,reward=-53.0
1787751053.162,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,17,0,
1787751053.329,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR06_R01,17,3,"(2, -1)"
1787751053.340,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,17,3,reward=-51.0
1787751053.351,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,18,0,
1787751053.446,PRACTICE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,,,
1787751053.457,TRIAL_ENDED,P001,P001_S01,P001_S01_ST1TR_TR06_R01,,,Valid; TR06/R01
