timestamp,participant_id,session_id,trial_id,condition_code,run_code,condition_name,practice,episode,steps,total_reward,target_reached,human_feedback_given
1787751044.802822,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,1,2,-50.5,0,0
1787751044.988851,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,2,3,-52.0,0,0
1787751045.233512,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,3,4,-51.5,0,0
1787751045.295651,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,4,1,-50.0,0,0
1787751045.426756,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,5,2,-50.5,0,0
1787751045.489686,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,6,1,-50.0,0,0
1787751045.861786,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,7,6,-54.5,0,0
1787751045.923861,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,8,1,-50.0,0,0
1787751046.048020,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,9,2,-50.5,0,0
1787751050.903854,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,10,4,-51.5,0,1
1787751051.327736,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,11,7,-54.0,0,0
1787751052.079801,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,12,12,-59.5,0,0
1787751052.329071,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,13,4,-51.5,0,0
1787751052.585119,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,14,4,-52.5,0,0
1787751052.833087,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,15,4,-51.5,0,0
1787751053.150715,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,16,5,-53.0,0,0
1787751053.340089,P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,1,17,3,-51.0,0,0
