participant_code,session_id,trial_id,condition_code,run_code,condition_name,study,environment,feedback_timing,modality,practice,trial_started_at_epoch,host_time_epoch,host_time_iso_utc,trial_elapsed_s,host_monotonic,eet_sample_index,eet_timestamp_hl2ss,calibration_valid,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_direction_x,combined_direction_y,combined_direction_z,left_valid,left_origin_x,left_origin_y,left_origin_z,left_direction_x,left_direction_y,left_direction_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_direction_x,right_direction_y,right_direction_z
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.6195302,2026-08-27T18:51:35.619530+00:00,0.10279512405395508,548422.39,1,839257089969,1,1,0.05021319538354874,-0.0489269457757473,-0.03835899010300636,-0.06872377544641495,-0.2033875584602356,0.976683497428894,1,0.05000152811408043,-0.014895702712237835,-0.037158455699682236,-0.06795292347669601,-0.27356332540512085,0.9594506025314331,1,0.050411876291036606,-0.08363045752048492,-0.03953620418906212,-0.06798277050256729,-0.1374291479587555,0.9881758689880371
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.6195302,2026-08-27T18:51:35.619530+00:00,0.10279512405395508,548422.39,2,839257201083,1,1,0.0502118356525898,-0.04922640696167946,-0.038365572690963745,-0.06905736774206161,-0.20269764959812164,0.9768034219741821,1,0.0499926321208477,-0.014885424636304379,-0.03714625909924507,-0.06951861083507538,-0.2711213231086731,0.9600313901901245,1,0.05041598156094551,-0.08363936841487885,-0.039549149572849274,-0.06936381012201309,-0.13718068599700928,0.9881144165992737
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.6195302,2026-08-27T18:51:35.619530+00:00,0.10279512405395508,548422.39,3,839257312196,1,1,0.05021250247955322,-0.049726616591215134,-0.03837907314300537,-0.06891361624002457,-0.2013317495584488,0.9770960211753845,1,0.04999716952443123,-0.01487506739795208,-0.03715294972062111,-0.06827805191278458,-0.2711816430091858,0.9601035118103027,1,0.05041203647851944,-0.08362045884132385,-0.039534784853458405,-0.06847473978996277,-0.1362282782793045,0.9883081912994385
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.65153,2026-08-27T18:51:35.651530+00:00,0.1347949504852295,548422.421,4,839257423310,1,1,0.050211239606142044,-0.049830466508865356,-0.038378261029720306,-0.06882117688655853,-0.2020452916622162,0.9769551753997803,1,0.04999443143606186,-0.014873936772346497,-0.037146374583244324,-0.06839848309755325,-0.2712186574935913,0.9600843787193298,1,0.05041182413697243,-0.0835992619395256,-0.039522234350442886,-0.06839621067047119,-0.13401995599269867,0.9886155128479004
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.6565316,2026-08-27T18:51:35.656532+00:00,0.13979649543762207,548422.421,5,839257534423,1,1,0.05021119490265846,-0.05004400759935379,-0.038382258266210556,-0.06877480447292328,-0.20254284143447876,0.9768553972244263,1,0.04999391362071037,-0.014868399128317833,-0.03714711591601372,-0.06835678219795227,-0.27119871973991394,0.9600929021835327,1,0.05040847510099411,-0.08360037207603455,-0.039526645094156265,-0.06854905188083649,-0.1347791701555252,0.9885017275810242
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.6565316,2026-08-27T18:51:35.656532+00:00,0.13979649543762207,548422.421,6,839257645537,1,1,0.05020972713828087,-0.05010989308357239,-0.03838018327951431,-0.06927598267793655,-0.2032281756401062,0.976677656173706,1,0.049991775304079056,-0.014862842857837677,-0.03713842108845711,-0.06979143619537354,-0.26986420154571533,0.9603658318519592,1,0.050394684076309204,-0.08358841389417648,-0.03951976075768471,-0.07017431408166885,-0.13275715708732605,0.9886613488197327
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.6565316,2026-08-27T18:51:35.656532+00:00,0.13979649543762207,548422.421,7,839257756651,1,1,0.05020817741751671,-0.05012686923146248,-0.038376763463020325,-0.06899110972881317,-0.2025248110294342,0.9768438935279846,1,0.04999503865838051,-0.014861704781651497,-0.037138134241104126,-0.06807934492826462,-0.2705797851085663,0.96028733253479,1,0.05039950832724571,-0.08358968049287796,-0.03952006623148918,-0.06829695403575897,-0.1337665617465973,0.988656759262085
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.6704447,2026-08-27T18:51:35.670445+00:00,0.15370965003967285,548422.437,8,839257867766,1,1,0.05020656809210777,-0.05002393573522568,-0.03836964815855026,-0.06833546608686447,-0.20108942687511444,0.9771865010261536,1,0.049997687339782715,-0.014856135472655296,-0.037138089537620544,-0.06681497395038605,-0.27020570635795593,0.9604814052581787,1,0.050403445959091187,-0.08358187228441238,-0.03951902315020561,-0.06693843007087708,-0.13316765427589417,0.9888303875923157
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.698952,2026-08-27T18:51:35.698952+00:00,0.18221688270568848,548422.468,9,839257978878,1,1,0.05020417645573616,-0.04971954971551895,-0.03835638239979744,-0.06805133819580078,-0.20049770176410675,0.9773279428482056,1,0.04999295994639397,-0.014825745485723019,-0.03714378550648689,-0.06724472343921661,-0.266275018453598,0.9615485668182373,1,0.05040072277188301,-0.08355937898159027,-0.039530739188194275,-0.06746336817741394,-0.13016828894615173,0.9891940355300903
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.7032154,2026-08-27T18:51:35.703215+00:00,0.18648028373718262,548422.468,10,839258089992,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.04994506388902664,-0.014635968022048473,-0.03720959275960922,-0.07120135426521301,-0.24630558490753174,0.9665732383728027,1,0.05034106597304344,-0.0833614319562912,-0.039462458342313766,-0.0708896741271019,-0.10884032398462296,0.9915283918380737
