participant_code,session_id,trial_id,condition_code,run_code,condition_name,study,environment,feedback_timing,modality,practice,trial_started_at_epoch,host_time_epoch,host_time_iso_utc,trial_elapsed_s,host_monotonic,pv_frame_index,pv_timestamp_hl2ss,eet_timestamp_hl2ss,pv_eet_delta_ms,eye_calibration_valid,combined_gaze_valid,projection_valid,pointer_in_frame,gaze_pixel_x_raw,gaze_pixel_y_raw,overlay_pixel_x_drawn,overlay_pixel_y_drawn,assumed_projection_distance_m,combined_origin_x,combined_origin_y,combined_origin_z,combined_direction_x,combined_direction_y,combined_direction_z
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.6205304,2026-08-27T18:51:35.620530+00:00,0.10379528999328613,548422.39,1,839256168130,839256201585,3.3455,1,1,1,1,840.0822051136005,338.12190737892456,840.0822051136005,338.12190737892456,1.5,0.05022961646318436,-0.0470535084605217,-0.0383002944290638,-0.06825089454650879,-0.21480050683021545,0.9742703437805176
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.6634417,2026-08-27T18:51:35.663442+00:00,0.14670658111572266,548422.437,2,839256501329,839256534401,3.3072,1,1,1,1,839.9436375565433,337.8235229412207,840.0240067396364,337.996585915089,1.5,0.05022302642464638,-0.047252360731363297,-0.038306206464767456,-0.06847311556339264,-0.21454688906669617,0.9743106365203857
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.6759505,2026-08-27T18:51:35.675951+00:00,0.15921545028686523,548422.453,3,839256834529,839256867743,3.3214,1,1,1,1,832.6757983054792,337.8567796225938,836.9377591972905,337.937867272241,1.5,0.05021655932068825,-0.04809880256652832,-0.03833552822470665,-0.06873957812786102,-0.20736509561538696,0.9758456945419312
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.68695,2026-08-27T18:51:35.686950+00:00,0.17021489143371582,548422.453,4,839257167728,839257201083,3.3355,1,1,1,1,828.3635489745809,337.72945524217465,833.3365909037525,337.85033421961316,1.5,0.0502118356525898,-0.04922640696167946,-0.038365572690963745,-0.06905736774206161,-0.20269764959812164,0.9768034219741821
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.6979496,2026-08-27T18:51:35.697950+00:00,0.1812145709991455,548422.468,5,839257500928,839257534423,3.3495,1,1,1,1,828.7892699845509,337.99432372216984,831.4267161176879,337.91080981068694,1.5,0.05021119490265846,-0.05004400759935379,-0.038382258266210556,-0.06877480447292328,-0.20254284143447876,0.9768553972244263
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.7125053,2026-08-27T18:51:35.712505+00:00,0.195770263671875,548422.484,6,839257834127,839257867766,3.3639,1,1,1,1,827.2137842669448,338.5421742962566,829.6572847403759,338.1759828946262,1.5,0.05020656809210777,-0.05002393573522568,-0.03836964815855026,-0.06833546608686447,-0.20108942687511444,0.9771865010261536
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.7455168,2026-08-27T18:51:35.745517+00:00,0.22878170013427734,548422.515,7,839258167327,839258201105,3.3778,1,1,1,1,815.3083384054113,337.21710679907994,823.6307272796907,337.7732549344968,1.5,0.05019214749336243,-0.04913879558444023,-0.03833447024226189,-0.07020659744739532,-0.19077979028224945,0.9791190028190613
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.8340359,2026-08-27T18:51:35.834036+00:00,0.31730079650878906,548422.609,8,839258500527,839258534448,3.3921,1,1,1,1,795.4221275025698,337.92983533854573,811.7831153733,337.8390187041973,1.5,0.050113216042518616,-0.04630330950021744,-0.03820608928799629,-0.07044574618339539,-0.17421765625476837,0.9821841716766357
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.8765485,2026-08-27T18:51:35.876549+00:00,0.3598134517669678,548422.64,9,839258833726,839258867788,3.4062,1,1,1,1,792.6154959392904,336.6212323852085,803.7327152110161,337.327548450222,1.5,0.050107695162296295,-0.04637565463781357,-0.03820474073290825,-0.07182848453521729,-0.1716197431087494,0.9825413823127747
P001,P001_S01,P001_S01_ST1TR_TR06_R01,TR06,R01,Gridworld_Anytime_Joystick,Study 1,Gridworld,Anytime Feedback,Joystick,1,1787856695.516735,1787856695.8875492,2026-08-27T18:51:35.887549+00:00,0.37081408500671387,548422.656,10,839259166925,839259201128,3.4203,1,1,1,1,789.6392760383064,335.9101529778385,797.813470758478,336.73224235182096,1.5,0.050101328641176224,-0.04639003798365593,-0.03820725902915001,-0.0726294070482254,-0.16886810958385468,0.9829590916633606
