timestamp,event,participant_id,session_id,trial_id,episode,step,value
1787751057.327,TRIAL_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,,,TR07/R01
1787751057.338,PRACTICE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,,,
1787751057.350,EXPERIMENTER_NOTE,P001,P001_S01,P001_S01_ST1TR_TR07_R01,,,HoloLens recording NOT started: [Errno 2] No such file or directory: 'D:\\Courses\\Independent Study 2\\User_Study\\Desktop App\\hint_study_console_v1.1.3_hololens_study_recording\\hint_study_console_v1.1.3_hololens_study_recording\\data\\P001\\S01\\Training\\Study1\\TR07_Gridworld_Anytime_Voice\\R01\\sensors\\hololens\\hololens_gaze_pointer.csv'
1787751057.363,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,1,0,
1787751057.489,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR07_R01,1,2,"(1, 1)"
1787751057.501,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,1,2,reward=-50.5
1787751057.514,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,2,0,
1787751057.690,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR07_R01,2,3,"(-1, 0)"
1787751057.701,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,2,3,reward=-52.0
1787751057.713,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,3,0,
1787751057.931,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR07_R01,3,4,"(-1, 3)"
1787751057.943,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,3,4,reward=-51.5
1787751057.954,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,4,0,
1787751057.990,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR07_R01,4,1,"(0, -1)"
1787751058.003,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,4,1,reward=-50.0
1787751058.014,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,5,0,
1787751058.122,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR07_R01,5,2,"(1, 1)"
1787751058.134,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,5,2,reward=-50.5
1787751058.145,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,6,0,
1787751058.189,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR07_R01,6,1,"(0, -1)"
1787751058.201,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,6,1,reward=-50.0
1787751058.213,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,7,0,
1787751058.557,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR07_R01,7,6,"(1, -1)"
1787751058.569,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,7,6,reward=-54.5
1787751058.580,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,8,0,
1787751058.595,ANYTIME_FEEDBACK_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,8,0,"pause_state=(0, 0);history_steps=0"
1787751062.996,FEEDBACK_RECEIVED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,8,0,Keyboard:DOWN
1787751063.007,FEEDBACK_APPLIED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,8,0,Keyboard:DOWN
1787751063.139,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR07_R01,8,2,"(1, -1)"
1787751063.150,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,8,2,reward=-50.5
1787751063.163,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,9,0,
1787751063.263,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR07_R01,9,2,"(1, 1)"
1787751063.275,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,9,2,reward=-50.5
1787751063.287,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,10,0,
1787751063.883,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR07_R01,10,10,"(3, 1)"
1787751063.896,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,10,10,reward=-57.5
1787751063.909,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,11,0,
1787751064.194,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR07_R01,11,5,"(2, -1)"
1787751064.206,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,11,5,reward=-53.0
1787751064.218,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,12,0,
1787751064.450,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR07_R01,12,4,"(3, 1)"
1787751064.463,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,12,4,reward=-51.5
1787751064.476,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,13,0,
1787751064.769,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR07_R01,13,5,"(3, 2)"
1787751064.782,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,13,5,reward=-52.0
1787751064.795,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,14,0,
1787751065.328,PRACTICE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,,,
1787751065.342,TRIAL_ENDED,P001,P001_S01,P001_S01_ST1TR_TR07_R01,,,Valid; TR07/R01
