timestamp,participant_id,session_id,trial_id,condition_code,run_code,condition_name,practice,episode,steps,total_reward,target_reached,human_feedback_given
1787760925.514139,P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,1,1,2,-50.5,0,0
1787760925.758976,P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,1,2,3,-52.0,0,0
1787760926.014760,P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,1,3,4,-51.5,0,0
1787760926.139754,P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,1,4,1,-50.0,0,0
1787760926.328853,P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,1,5,2,-50.5,0,0
1787760926.450166,P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,1,6,1,-50.0,0,0
1787760926.886156,P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,1,7,6,-54.5,0,0
1787760927.008888,P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,1,8,1,-50.0,0,0
1787760927.144375,P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,1,9,2,-50.5,0,0
1787760927.393127,P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,1,10,4,-51.5,0,0
