participant_code,session_id,trial_id,condition_code,run_code,condition_name,study,environment,feedback_timing,modality,practice,trial_started_at_epoch,host_time_epoch,host_time_iso_utc,trial_elapsed_s,host_monotonic,eet_sample_index,eet_timestamp_hl2ss,calibration_valid,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_direction_x,combined_direction_y,combined_direction_z,left_valid,left_origin_x,left_origin_y,left_origin_z,left_direction_x,left_direction_y,left_direction_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_direction_x,right_direction_y,right_direction_z
P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,Study 1,Gridworld,Anytime Feedback,Voice,1,1787856699.104859,1787856699.211906,2026-08-27T18:51:39.211906+00:00,0.10704684257507324,548425.984,1,839293031467,1,1,0.05011960491538048,-0.04534324258565903,-0.0381871834397316,-0.05462329089641571,-0.15688566863536835,0.9861050844192505,1,0.04996025189757347,-0.01435897871851921,-0.037258803844451904,-0.05445830523967743,-0.22812491655349731,0.9721076488494873,1,0.050299022346735,-0.08301356434822083,-0.039240770041942596,-0.05339641124010086,-0.08260586857795715,0.9951508045196533
P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,Study 1,Gridworld,Anytime Feedback,Voice,1,1787856699.104859,1787856699.211906,2026-08-27T18:51:39.211906+00:00,0.10704684257507324,548425.984,2,839293142580,1,1,0.050117943435907364,-0.04552125185728073,-0.038183245807886124,-0.05505117028951645,-0.1564624309539795,0.9861485362052917,1,0.04995241388678551,-0.014341593720018864,-0.037269338965415955,-0.05524053797125816,-0.22630566358566284,0.9724886417388916,1,0.05029503256082535,-0.08300561457872391,-0.03923856467008591,-0.0540708564221859,-0.08181389421224594,0.9951798319816589
P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,Study 1,Gridworld,Anytime Feedback,Voice,1,1787856699.104859,1787856699.2129047,2026-08-27T18:51:39.212905+00:00,0.10804557800292969,548425.984,3,839293253694,1,1,0.0501176081597805,-0.046116381883621216,-0.03819521144032478,-0.0558345690369606,-0.1555774062871933,0.9862445592880249,1,0.04994407296180725,-0.014328224584460258,-0.03727341070771217,-0.05670744925737381,-0.22491100430488586,0.9727277159690857,1,0.050288598984479904,-0.08300279080867767,-0.03923999145627022,-0.05552539601922035,-0.0815645307302475,0.9951202273368835
P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,Study 1,Gridworld,Anytime Feedback,Voice,1,1787856699.104859,1787856699.245902,2026-08-27T18:51:39.245902+00:00,0.14104294776916504,548426.015,4,839293364808,1,1,0.05011866241693497,-0.04685106873512268,-0.03821214288473129,-0.05585344135761261,-0.15301325917243958,0.9866445660591125,1,0.049944277852773666,-0.014315508306026459,-0.0372854508459568,-0.05529814586043358,-0.22426536679267883,0.972957968711853,1,0.05028910934925079,-0.08299113810062408,-0.039235252887010574,-0.0541774146258831,-0.08094373345375061,0.9952452182769775
P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,Study 1,Gridworld,Anytime Feedback,Voice,1,1787856699.104859,1787856699.245902,2026-08-27T18:51:39.245902+00:00,0.14104294776916504,548426.015,5,839293475921,1,1,0.050117138773202896,-0.04709148406982422,-0.03821609541773796,-0.05628091096878052,-0.15186096727848053,0.9867982864379883,1,0.04993406683206558,-0.01431177742779255,-0.037291910499334335,-0.05650210753083229,-0.22418956458568573,0.972906231880188,1,0.050279222428798676,-0.08298126608133316,-0.03923366591334343,-0.05540575087070465,-0.0801984965801239,0.9952378869056702
P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,Study 1,Gridworld,Anytime Feedback,Voice,1,1787856699.104859,1787856699.2489035,2026-08-27T18:51:39.248904+00:00,0.1440443992614746,548426.015,6,839293587036,1,1,0.05011497065424919,-0.0474245622754097,-0.038224536925554276,-0.056846458464860916,-0.15064728260040283,0.9869519472122192,1,0.04992394149303436,-0.014288603328168392,-0.037310268729925156,-0.05727643519639969,-0.22164127230644226,0.9734446406364441,1,0.050266366451978683,-0.0829729437828064,-0.03923153132200241,-0.056291259825229645,-0.07923094928264618,0.995265781879425
P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,Study 1,Gridworld,Anytime Feedback,Voice,1,1787856699.104859,1787856699.2489035,2026-08-27T18:51:39.248904+00:00,0.1440443992614746,548426.015,7,839293698150,1,1,0.050112731754779816,-0.04788517206907272,-0.03823823854327202,-0.05725104361772537,-0.1479252129793167,0.9873402118682861,1,0.0499129444360733,-0.014245005324482918,-0.03735283389687538,-0.057411763817071915,-0.21890608966350555,0.9740554690361023,1,0.05025256797671318,-0.08294221758842468,-0.039203256368637085,-0.05641242489218712,-0.07776451110839844,0.9953745007514954
P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,Study 1,Gridworld,Anytime Feedback,Voice,1,1787856699.104859,1787856699.2689066,2026-08-27T18:51:39.268907+00:00,0.1640474796295166,548426.031,8,839293809262,1,1,0.050108928233385086,-0.048179879784584045,-0.038247205317020416,-0.05760854482650757,-0.14678789675235748,0.9874891042709351,1,0.049905695021152496,-0.014248874969780445,-0.03734654560685158,-0.05780864879488945,-0.2193959504365921,0.9739217162132263,1,0.05024930089712143,-0.08292189240455627,-0.03919675573706627,-0.05652540922164917,-0.07552482187747955,0.9955404996871948
P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,Study 1,Gridworld,Anytime Feedback,Voice,1,1787856699.104859,1787856699.2729104,2026-08-27T18:51:39.272910+00:00,0.16805124282836914,548426.046,9,839293920376,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.04989682510495186,-0.014263508841395378,-0.03730205073952675,-0.062447886914014816,-0.21786688268184662,0.973978579044342,1,0.050233736634254456,-0.08295592665672302,-0.03925756365060806,-0.06168702244758606,-0.07626199722290039,0.9951778650283813
P001,P001_S01,P001_S01_ST1TR_TR07_R01,TR07,R01,Gridworld_Anytime_Voice,Study 1,Gridworld,Anytime Feedback,Voice,1,1787856699.104859,1787856699.2904153,2026-08-27T18:51:39.290415+00:00,0.18555617332458496,548426.062,10,839294031490,1,1,0.05010329559445381,-0.04839058220386505,-0.03825473040342331,-0.0592869371175766,-0.1446705162525177,0.9877021908760071,1,0.049896642565727234,-0.014256642200052738,-0.03730155900120735,-0.06179100275039673,-0.21788659691810608,0.9740159511566162,1,0.050239503383636475,-0.08293987810611725,-0.039233628660440445,-0.06086062639951706,-0.07524596899747849,0.9953060746192932
