timestamp,event,participant_id,session_id,trial_id,episode,step,value
1787760930.420,TRIAL_STARTED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,,,TR08/R01
1787760930.441,PRACTICE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,,,
1787760930.462,EXPERIMENTER_NOTE,P001,P001_S01,P001_S01_ST1TR_TR08_R01,,,HoloLens recording NOT started: fresh PV + EET streams were not available when this activity began.
1787760930.482,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,1,0,
1787760930.622,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR08_R01,1,2,"(1, 1)"
1787760930.644,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,1,2,reward=-50.5
1787760930.667,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,2,0,
1787760930.867,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR08_R01,2,3,"(-1, 0)"
1787760930.887,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,2,3,reward=-52.0
1787760930.906,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,3,0,
1787760931.177,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR08_R01,3,4,"(-1, 3)"
1787760931.198,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,3,4,reward=-51.5
1787760931.220,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,4,0,
1787760931.244,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR08_R01,4,1,"(0, -1)"
1787760931.266,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,4,1,reward=-50.0
1787760931.287,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,5,0,
1787760931.376,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR08_R01,5,2,"(1, 1)"
1787760931.396,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,5,2,reward=-50.5
1787760931.417,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,6,0,
1787760931.502,COLLISION,P001,P001_S01,P001_S01_ST1TR_TR08_R01,6,1,"(0, -1)"
1787760931.524,EPISODE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,6,1,reward=-50.0
1787760931.544,EPISODE_STARTED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,7,0,
1787760931.858,PRACTICE_ENDED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,,,
1787760931.880,TRIAL_ENDED,P001,P001_S01,P001_S01_ST1TR_TR08_R01,,,Valid; TR08/R01
