timestamp,participant_id,session_id,trial_id,condition_code,run_code,condition_name,practice,episode,steps,total_reward,target_reached,human_feedback_given
1787751069.197720,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,1,2,-50.5,0,0
1787751069.385842,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,2,3,-52.0,0,0
1787751069.633901,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,3,4,-51.5,0,0
1787751069.704965,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,4,1,-50.0,0,0
1787751069.823762,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,5,2,-50.5,0,0
1787751069.878798,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,6,1,-50.0,0,0
1787751070.252948,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,7,6,-54.5,0,0
1787751070.316968,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,8,1,-50.0,0,0
1787751070.442987,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,9,2,-50.5,0,0
1787751074.919954,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,10,5,-52.0,0,1
1787751074.971967,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,11,1,-50.0,0,0
1787751075.300009,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,12,5,-52.0,0,0
1787751075.987944,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,13,11,-59.0,0,0
1787751076.187699,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,14,3,-51.0,0,0
1787751076.505759,P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,1,15,5,-54.0,0,0
