participant_code,session_id,trial_id,condition_code,run_code,condition_name,study,environment,feedback_timing,modality,practice,trial_started_at_epoch,host_time_epoch,host_time_iso_utc,trial_elapsed_s,host_monotonic,eet_sample_index,eet_timestamp_hl2ss,calibration_valid,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_direction_x,combined_direction_y,combined_direction_z,left_valid,left_origin_x,left_origin_y,left_origin_z,left_direction_x,left_direction_y,left_direction_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_direction_x,right_direction_y,right_direction_z
P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,Study 1,Gridworld,Anytime Feedback,Eye Gaze,1,1787856702.816551,1787856702.9240668,2026-08-27T18:51:42.924067+00:00,0.10751581192016602,548429.687,1,839330194184,1,1,0.04904840886592865,-0.04771113768219948,-0.03839770704507828,-0.22541958093643188,-0.2276400327682495,0.9472941756248474,1,0.04885129630565643,-0.014928926713764668,-0.03746204450726509,-0.2232825756072998,-0.29145383834838867,0.9301610589027405,1,0.049253176897764206,-0.08366560190916061,-0.0393737368285656,-0.22787991166114807,-0.15259473025798798,0.961657702922821
P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,Study 1,Gridworld,Anytime Feedback,Eye Gaze,1,1787856702.816551,1787856702.9240668,2026-08-27T18:51:42.924067+00:00,0.10751581192016602,548429.687,2,839330305298,1,1,0.04904547333717346,-0.04743499308824539,-0.03838713467121124,-0.22550690174102783,-0.22850896418094635,0.9470641016960144,1,0.04884566366672516,-0.01492620911449194,-0.03746126964688301,-0.2229134887456894,-0.29071736335754395,0.930479884147644,1,0.04924561828374863,-0.08366313576698303,-0.03936982899904251,-0.22735226154327393,-0.15175524353981018,0.9619153738021851
P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,Study 1,Gridworld,Anytime Feedback,Eye Gaze,1,1787856702.816551,1787856702.9240668,2026-08-27T18:51:42.924067+00:00,0.10751581192016602,548429.687,3,839330416408,1,1,0.04904339462518692,-0.0474560521543026,-0.03838633745908737,-0.22580404579639435,-0.22727517783641815,0.9472902417182922,1,0.048833396285772324,-0.014918124303221703,-0.03746974468231201,-0.2234681248664856,-0.28968846797943115,0.9306678771972656,1,0.04923528432846069,-0.0836690366268158,-0.03938012942671776,-0.2278711199760437,-0.15225258469581604,0.9617140889167786
P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,Study 1,Gridworld,Anytime Feedback,Eye Gaze,1,1787856702.816551,1787856702.9577382,2026-08-27T18:51:42.957738+00:00,0.14118719100952148,548429.734,4,839330527521,1,1,0.04903832823038101,-0.04733584448695183,-0.03837975487112999,-0.22710491716861725,-0.22605766355991364,0.9472706317901611,1,0.04881494119763374,-0.01492301095277071,-0.0374755933880806,-0.22635406255722046,-0.2911059856414795,0.9295274615287781,1,0.04921886324882507,-0.08366463333368301,-0.03938012942671776,-0.23112712800502777,-0.1525479555130005,0.9608898162841797
P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,Study 1,Gridworld,Anytime Feedback,Eye Gaze,1,1787856702.816551,1787856702.9577382,2026-08-27T18:51:42.957738+00:00,0.14118719100952148,548429.734,5,839330638632,1,1,0.049034032970666885,-0.04751726984977722,-0.03838597983121872,-0.2267107367515564,-0.22377237677574158,0.9479073286056519,1,0.04879819601774216,-0.01489160768687725,-0.037507880479097366,-0.22290103137493134,-0.28715571761131287,0.931588351726532,1,0.0492132194340229,-0.08370218425989151,-0.03943930193781853,-0.22715485095977783,-0.15629509091377258,0.9612348675727844
P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,Study 1,Gridworld,Anytime Feedback,Eye Gaze,1,1787856702.816551,1787856702.9577382,2026-08-27T18:51:42.957738+00:00,0.14118719100952148,548429.734,6,839330749746,1,1,0.049035683274269104,-0.047470517456531525,-0.0383869968354702,-0.2256753295660019,-0.22551476955413818,0.9477413892745972,1,0.048879481852054596,-0.014909077435731888,-0.03751734644174576,-0.22107544541358948,-0.2881176769733429,0.9317262768745422,1,0.04927849769592285,-0.08371380716562271,-0.039454516023397446,-0.225195050239563,-0.1569516956806183,0.961588978767395
P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,Study 1,Gridworld,Anytime Feedback,Eye Gaze,1,1787856702.816551,1787856702.9747782,2026-08-27T18:51:42.974778+00:00,0.15822720527648926,548429.75,7,839330860857,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.049318697303533554,-0.01485065184533596,-0.037637341767549515,-0.14149783551692963,-0.28136730194091797,0.9491104483604431,1,0.049787331372499466,-0.08372767269611359,-0.03961174935102463,-0.1435474455356598,-0.15949590504169464,0.976706326007843
P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,Study 1,Gridworld,Anytime Feedback,Eye Gaze,1,1787856702.816551,1787856702.9747782,2026-08-27T18:51:42.974778+00:00,0.15822720527648926,548429.75,8,839330971968,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.04985450953245163,-0.014800110831856728,-0.03757937252521515,-0.06436733156442642,-0.27139797806739807,0.9603124856948853,1,0.050253089517354965,-0.08348506689071655,-0.039510469883680344,-0.06403176486492157,-0.12900790572166443,0.9895740151405334
P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,Study 1,Gridworld,Anytime Feedback,Eye Gaze,1,1787856702.816551,1787856702.99014,2026-08-27T18:51:42.990140+00:00,0.17358899116516113,548429.765,9,839331083081,1,1,0.05037585645914078,-0.045140258967876434,-0.03839131444692612,-0.04895082116127014,-0.1871671974658966,0.9811076521873474,1,0.05018022283911705,-0.014787831343710423,-0.037324726581573486,-0.0488237701356411,-0.2520332932472229,0.9664860367774963,1,0.05062249302864075,-0.08340512961149216,-0.03973594680428505,-0.04880240187048912,-0.10421185940504074,0.9933570623397827
P001,P001_S01,P001_S01_ST1TR_TR08_R01,TR08,R01,Gridworld_Anytime_Gaze,Study 1,Gridworld,Anytime Feedback,Eye Gaze,1,1787856702.816551,1787856703.0089083,2026-08-27T18:51:43.008908+00:00,0.19235730171203613,548429.781,10,839331194192,1,1,0.05051003023982048,-0.04625963047146797,-0.038409337401390076,-0.03054935857653618,-0.17480933666229248,0.9841282963752747,1,0.05029735341668129,-0.014680599793791771,-0.03731999173760414,-0.030905259773135185,-0.24179723858833313,0.9698345065116882,1,0.050759561359882355,-0.08331095427274704,-0.03968746215105057,-0.029948938637971878,-0.09516735374927521,0.9950106739997864
